           tile     partscheme          cycle       accesses     L2accesses        locxfer       ctocxfer       ptopxfer        memxfer         locAAT        ctocAAT        ptopAAT         memAAT       totalAAT      memcycles     ahopcycles     amemnohops   amemwithhops        L1reads     L1rdMisses       L1writes     L1wrMisses      L1wrBacks        L2reads     L2rdMisses       L2writes     L2wrMisses      L2wrBacks
              0              1      240254100       80014622          11766          11324              0              0            442      14.352084           -nan           -nan     337.803162       3.002627          66300       3.001799       0.000829       0.001866       80003278            422          11344             20             35            422            422          11344             20             33
              1              1         944993          68388          23914          21254              0              0           2660      13.494778           -nan           -nan     347.275574      13.818111         399000       7.983755       5.834357      13.507530          47303           2829          21085            245            382           2829           2415          21085            245            244
              2              1      240270408       80017208           9328           8708              0              0            620      13.970487           -nan           -nan     351.795166       3.002734          93000       3.001572       0.001162       0.002726       80008480            600           8728             20             33            600            600           8728             20             33
              3              1      240274363       80015929           9472           8855              0              0            617      14.087070           -nan           -nan     361.103729       3.002832          92550       3.001675       0.001157       0.002784       80007053            596           8876             21             34            596            596           8876             21             33
              4              1      240268995       80016060          10152           9529              0              0            623      13.678560           -nan           -nan     344.105927       3.002759          93450       3.001592       0.001168       0.002679       80006511            603           9549             20             33            603            603           9549             20             32
              5              1         934568          68938          24067          21376              0              0           2691      13.473101           -nan           -nan     340.246735      13.556645         403650       7.701384       5.855261      13.281557          47703           2832          21235            244            398           2832           2447          21235            244            246
              6              1      240261278       80016227           9623           9012              0              0            611      13.699956           -nan           -nan     343.129303       3.002657          91650       3.001512       0.001145       0.002620       80007193            589           9034             22             32            589            589           9034             22             32
              7              1      240265049       80015081           9770           9163              0              0            607      13.819491           -nan           -nan     351.792419       3.002747          91050       3.001609       0.001138       0.002669       80005901            590           9180             17             32            590            590           9180             17             31
              8              1      240271277       80015548           9405           8788              0              0            617      13.966773           -nan           -nan     360.871948       3.002807          92550       3.001651       0.001157       0.002783       80006741            598           8807             19             33            598            598           8807             19             33
              9              1      240262288       80015527           9717           9096              0              0            621      13.707563           -nan           -nan     343.516907       3.002696          93150       3.001532       0.001164       0.002666       80006412            602           9115             19             34            602            602           9115             19             33
             10              1         824100          57288          22249          19911              0              0           2338      13.474712           -nan           -nan     342.766479      14.385212         350700       8.263511       6.121701      13.988758          37552           2513          19736            239            370           2513           2099          19736            239            241
             11              1         848021          56402          22209          19873              0              0           2336      13.580285           -nan           -nan     353.579193      15.035300         350400       8.822755       6.212546      14.644179          36666           2473          19736            248            370           2473           2088          19736            248            241
             12              1         886642          57366          22240          19899              0              0           2341      13.661289           -nan           -nan     367.606995      15.455880         351150       9.334659       6.121222      15.001360          37607           2481          19759            245            369           2481           2096          19759            245            240
             13              1         856426          57063          22268          19932              0              0           2336      13.673540           -nan           -nan     355.265411      15.008430         350400       8.867847       6.140582      14.543574          37303           2508          19760            243            400           2508           2093          19760            243            241
             14              1         837567          56508          22306          19967              0              0           2339      13.524966           -nan           -nan     348.763580      14.822096         350850       8.613240       6.208855      14.436151          36748           2546          19760            236            370           2546           2103          19760            236            241
             15              1         828023          56931          22215          19907              0              0           2308      13.493394           -nan           -nan     347.253906      14.544326         346200       8.463280       6.081046      14.077779          37194           2478          19737            215            367           2478           2093          19737            215            234
