           tile     partscheme          cycle       accesses     L2accesses        locxfer       ctocxfer       ptopxfer        memxfer         locAAT        ctocAAT        ptopAAT         memAAT       totalAAT      memcycles     ahopcycles     amemnohops   amemwithhops        L1reads     L1rdMisses       L1writes     L1wrMisses      L1wrBacks        L2reads     L2rdMisses       L2writes     L2wrMisses      L2wrBacks
              0              1      964109403       69813183       27736159       25136720              0              0        2599439      13.833745           -nan           -nan     338.557373      13.809847      389915850       8.224715       5.585132      12.605917       45086872        3009848       24726311          58751         306735        3009848        2596517       24726311           2922          20239
              1              1      969858012       63634651       25563893       22770110              0              0        2793783      13.496843           -nan           -nan     346.264771      15.241035      419067450       8.655514       6.585523      15.202229       41139256        3068498       22495395          24661         166776        3068498        2792230       22495395           1553           3285
              2              1     1002417079       64393335       25571822       22778936              0              0        2792886      13.629498           -nan           -nan     356.054626      15.567094      418932900       9.061251       6.505842      15.442902       41891651        3070138       22501684          24996         201784        3070138        2791249       22501684           1637           3730
              3              1     1020842034       63590438       25530183       22737548              0              0        2792635      13.707917           -nan           -nan     363.052124      16.053389      418895250       9.465995       6.587394      15.943781       41095203        3034948       22495235          24713         166694        3034948        2791159       22495235           1476           3058
              4              1      972187211       63607423       25562733       22769837              0              0        2792896      13.514953           -nan           -nan     347.042725      15.284178      418934400       8.697928       6.586250      15.238069       41113722        3069032       22493701          24694         166537        3069032        2791477       22493701           1419           2777
              5              1      946473283       63748770       25531436       22738992              0              0        2792444      13.485252           -nan           -nan     338.071899      14.846927      418866600       8.276343       6.570583      14.808865       41251887        3034553       22496883          24946         167065        3034553        2790979       22496883           1465           3058
              6              1      967904114       63405696       25527811       22734441              0              0        2793370      13.497779           -nan           -nan     345.966156      15.265255      419005500       8.656929       6.608326      15.241714       40912492        3034607       22493204          24605         166790        3034607        2791945       22493204           1425           2723
              7              1      996124643       63650192       25528514       22736229              0              0        2792285      13.575529           -nan           -nan     355.245270      15.649987      418842750       9.069602       6.580385      15.584337       41157247        3035569       22492945          24829         167017        3035569        2790941       22492945           1344           2520
              8              1     1000631018       63920853       25559015       22767120              0              0        2791895      13.634573           -nan           -nan     355.998260      15.654220      418784250       9.102613       6.551606      15.549069       41431222        3069384       22489631          24548         166214        3069384        2790644       22489631           1251           2122
              9              1      968448214       63219680       25558052       22766205              0              0        2791847      13.508114           -nan           -nan     346.262482      15.318777      418777050       8.694621       6.624156      15.291312       40729982        3068354       22489698          24537         166079        3068354        2790607       22489698           1240           2068
             10              1      945750835       63819632       25543421       22767927              0              0        2775494      13.484825           -nan           -nan     338.759430      14.819121      416324100       8.295671       6.523449      14.732532       41328167        3051956       22491465          24511         166112        3051956        2774257       22491465           1237           2432
             11              1      587893612       42552224       17207090       15699018              0              0        1508072      13.673519           -nan           -nan     347.071075      13.815814      226210800       8.499740       5.316075      12.300372       26980591        1635457       15571633           1544          75710        1635457        1507998       15571633             74            268
             12              1     1018952544       64337988       25527168       22735290              0              0        2791878      13.607538           -nan           -nan     362.455139      15.837495      418781700       9.328405       6.509089      15.728352       41847428        3036608       22490560          24890         166921        3036608        2790623       22490560           1255           2116
             13              1      993293613       63401017       25559788       22767745              0              0        2792043      13.640048           -nan           -nan     353.871094      15.666841      418806450       9.061167       6.605674      15.583714       40910191        3068962       22490826          24605         200725        3068962        2790806       22490826           1237           2064
             14              1      969763861       63498791       25592993       22801211              0              0        2791782      13.507176           -nan           -nan     346.314209      15.272162      418767300       8.677276       6.594886      15.226019       41009002        3103204       22489789          24756         166447        3103204        2790552       22489789           1230           2037
             15              1      948463410       63655165       25626238       22831266              0              0        2794972      13.439929           -nan           -nan     338.741089      14.900023      419245800       8.313821       6.586202      14.873449       41079411        3050484       22575754          26046         172642        3050484        2792942       22575754           2030           6229
