           tile     partscheme          cycle       accesses     L2accesses        locxfer       ctocxfer       ptopxfer        memxfer         locAAT        ctocAAT        ptopAAT         memAAT       totalAAT      memcycles     ahopcycles     amemnohops   amemwithhops        L1reads     L1rdMisses       L1writes     L1wrMisses      L1wrBacks        L2reads     L2rdMisses       L2writes     L2wrMisses      L2wrBacks
              0             16     1000484469       57939214       22385118         842270       21536784              0           6064      13.000000      40.930988           -nan     372.758423      17.267830         909600      17.252129       0.015699       0.039013       37602624        2048528       20336590           5199         211040        2408342           1625       23741512            173             18
              1             16      884353772       53060586       20632344         151680       20479187              0           1477      13.000000      38.320583           -nan     368.528107      16.666868         221550      16.662693       0.004175       0.010258       34379642        1951400       18680944           4164         122005        1524457           1596       21986600            171              8
              2             16      815516940       53758388       20639430         467351       20170348              0           1731      13.000000      35.185577           -nan     369.045074      15.170040         259650      15.165211       0.004830       0.011883       35071634        1952676       18686754           4395         151322        1947384           1561       18358570            174              6
              3             16      889099668       53065225       20603326         123454       20478219              0           1653      13.000000      38.564938           -nan     372.497894      16.754847         247950      16.750174       0.004673       0.011603       34384815        1922916       18680410           4170         121869        1899939           1634       21000235            183             38
              4             16      957642625       52983282       20629536        1751982       18876122              0           1432      13.000000      44.367840           -nan     368.506287      18.074430         214800      18.070377       0.004054       0.009960       34305414        1951668       18677868           3991         121623        1928359           1751       11768945            176             56
              5             16      693081850       53155420       20603828        1927482       18674734              0           1612      13.000000      30.523716           -nan     365.602966      13.038780         241800      13.034232       0.004549       0.011087       34474620        1923028       18680800           4234         122082        1932140           1581       18109629            163              8
              6             16      741705764       52991526       20600486         268687       20330349              0           1450      13.000000      31.515915           -nan     363.920685      13.996686         217500      13.992581       0.004104       0.009958       34314003        1922963       18677523           3914         121838        1411521           1751       17788755            159             38
              7             16      884561570       52964263       20602550        1239239       19361659              0           1652      13.000000      39.821281           -nan     368.065369      16.701103         247800      16.696424       0.004679       0.011480       34286155        1924442       18678108           4254         122439        1956850           1617       17822332            157             10
              8             16      817447082       53286606       20626552         637811       19987401              0           1340      13.000000      35.566593           -nan     367.642548      15.340573         201000      15.336801       0.003772       0.009245       34612017        1951963       18674589           3904         121339        1005426           1555       20234421            158              2
              9             16      748835411       52715018       20626422         325227       20299769              0           1426      13.000000      31.923342           -nan     364.075745      14.205353         213900      14.201295       0.004058       0.009849       34040189        1951593       18674829           3895         121284         981062           1608       17711303            159              4
             10             16      832813347       53190960       20627481        1037159       19588976              0           1346      13.000000      36.824371           -nan     364.034912      15.657047         201900      15.653251       0.003796       0.009212       34515223        1951744       18675737           3881         121272         984414           1610       19723603            162              4
             11             16      859571907       52945735       20596228         555130       20040683              0            415      13.000000      37.684193           -nan     366.212036      16.234961          62250      16.233784       0.001176       0.002870       34272308        1922801       18673427           3764         121141        1444795           2278       20130728            199             86
             12             16     1003209186       53500941       20600997         477750       20121846              0           1401      13.000000      44.627476           -nan     372.278381      18.751245         210150      18.747316       0.003928       0.009749       34825477        1925533       18675464           4106         121933        2350434           1583       17128644            150              0
             13             16      772221281       52966257       20597894        3531501       17064914              0           1479      13.000000      36.852371           -nan     369.131165      14.579495         221850      14.575307       0.004189       0.010307       34291619        1923256       18674638           3828         150127        2804739           1559       20403987            152              6
             14             16      870744699       52928840       20656708        1589170       19066093              0           1445      13.000000      39.491779           -nan     368.101715      16.451233         216750      16.447138       0.004095       0.010049       34253497        1981365       18675343           4151         121680        3238059           1632       18389351            139              2
             15             16      860544909       53201113       20687723        2131650       18552828              0           3245      13.000000      39.593285           -nan     373.689667      16.175318         486750      16.166168       0.009149       0.022793       34450709        1937319       18750404           5287         127063        3325274           1609       16274813            143              4
