           tile     partscheme          cycle       accesses     L2accesses        locxfer       ctocxfer       ptopxfer        memxfer         locAAT        ctocAAT        ptopAAT         memAAT       totalAAT      memcycles     ahopcycles     amemnohops   amemwithhops        L1reads     L1rdMisses       L1writes     L1wrMisses      L1wrBacks        L2reads     L2rdMisses       L2writes     L2wrMisses      L2wrBacks
              0              4      871559356       69813183       27599654        5863884       21550726              0         185044      13.909437      28.698059           -nan     392.598572      12.484166       27756600      12.086581       0.397584       1.040606       45086872        2873343       24726311          58755         306686        2394165         415927       19123959           1744           5530
              1              4      919768679       63634651       25256609        2469982       21911130              0         875497      14.235744      26.705130           -nan     360.546631      14.453897      131324550      12.390170       2.063727       4.960465       41139256        2761214       22495395          24647         166647        2740089         536047       18784123           1714           6182
              2              4      729453558       64393335       25435449        6700581       18576168              0         158700      13.948222      25.770279           -nan     404.604279      11.328091       23805000      10.958410       0.369681       0.997164       41891651        2933765       22501684          24997         201782        2588431         448043       21616307           1441           1763
              3              4      945635247       63590438       25427774        4614854       19920295              0         892625      13.721431      28.611094           -nan     371.687073      14.870714      133893750      12.765150       2.105564       5.217407       41095203        2932539       22495235          24701         166662        2555742         465666       23461618           1380           2223
              4              4      725958983       63607423       25221652        6150960       18895396              0         175296      13.546295      25.567320           -nan     403.139282      11.413117       26294400      10.999731       0.413386       1.111013       41113722        2727951       22493701          24693         166529        2599941         586868       21455176           1692           5390
              5              4      911581188       63748770       25224484        2871964       21455100              0         897420      15.320752      26.478903           -nan     354.920898      14.299589      134613000      12.187972       2.111617       4.996381       41251887        2727601       22496883          24931         167006        3355914         587604       32849032           1661           5567
              6              4      703373507       63405696       25391276       10139175       15076640              0         175461      13.452477      27.188078           -nan     395.230408      11.093223       26319150      10.678131       0.415091       1.093711       40912492        2898072       22493204          24606         166798        2899464         550953       26064208           1365           1734
              7              4      974774523       63650192       25426189        5495097       18828926              0        1102166      13.355138      28.926968           -nan     369.613892      15.314557      165324900      12.717159       2.597398       6.400230       41157247        2933244       22492945          24826         166999        3653983         858758       18840935           1346           1825
              8              4      781424422       63920853       25456640        6080294       18996063              0         380283      13.320282      25.881901           -nan     395.570587      12.224875       57042450      11.332482       0.892392       2.353360       41431222        2967009       22489631          24549         166202        2625139         516229       21351251           1432           1838
              9              4      939176546       63219680       25489899        4288429       20326143              0         875327      13.424399      28.300360           -nan     370.695160      14.855762      131299050      12.778893       2.076870       5.132571       40729982        3000201       22489698          24521         166030        2932206         602033       23591261           1388           2358
             10              4      792474860       63819632       25423356        9846207       14975083              0         602066      13.284485      27.516893           -nan     373.258667      12.417416       90309900      11.002336       1.415080       3.521273       41328167        2931891       22491465          24511         166115        2281500         549424       23744322           1154            951
             11              4      536142833       42552224       17155388        6748867        9961891              0         444630      13.494343      27.625479           -nan     360.689270      12.599644       66694500      11.032287       1.567356       3.768857       26980591        1583755       15571633           1544          75684        2708968         600922       24883360           1052           1375
             12              4      709439122       64337988       25424859        9592686       15656788              0         175385      13.217446      27.034546           -nan     393.092468      11.026753       26307750      10.617854       0.408899       1.071568       41847428        2934299       22490560          24890         166913        2794978         482251       25686950           1427           1744
             13              4      930892834       63401017       25457496        5226955       19333376              0         897165      13.372934      28.626146           -nan     365.927368      14.682617      134574750      12.560020       2.122596       5.178107       40910191        2966670       22490826          24589         200677        3515856         721945       19331253           1455           1891
             14              4      808805933       63498791       25456530        4675108       20606152              0         175270      13.773989      28.442873           -nan     402.102814      12.737344       26290500      12.323313       0.414032       1.109888       41009002        2966741       22489789          24757         166386        2264404         515471       15273951           1079            875
             15              4      867383935       63655165       25523902       10215557       14207816              0        1100529      13.542581      27.296965           -nan     356.096283      13.626293      165079350      11.032955       2.593338       6.156520       41079411        2948148       22575754          26042         172564        3175663         652281       19227008           1112           1097
