           tile     partscheme          cycle       accesses     L2accesses        locxfer       ctocxfer       ptopxfer        memxfer         locAAT        ctocAAT        ptopAAT         memAAT       totalAAT      memcycles     ahopcycles     amemnohops   amemwithhops        L1reads     L1rdMisses       L1writes     L1wrMisses      L1wrBacks        L2reads     L2rdMisses       L2writes     L2wrMisses      L2wrBacks
              0              2      697003491       69813183       27667917       12242394       15239659         172355          13509      13.765106      24.983656     107.962845     349.830414       9.983838        2026350       9.954812       0.029025       0.067693       45086872        2941606       24726311          58755         306721        2541350        1068510       21196279           2122          10401
              1              2      691721587       63634651       25324912       12653850       10424603        2241757           4702      13.495207      24.387419      67.302452     345.906860      10.870203         705300      10.859119       0.011084       0.025559       41139256        2829517       22495395          24647         166661        3229773        1359599       26025427           2092          11124
              2              2      626214355       64393335       25503671       12068376       13276459         154335           4501      13.688732      24.554668     112.669586     362.547882       9.724832         675150       9.714347       0.010485       0.025342       41891651        3001987       22501684          24996         201779        2760963        1132208       23413209           1495           2312
              3              2      759699213       63590438       25495973       10055998       12972093        2463560           4322      13.538670      24.640421      76.603287     362.026611      11.946752         648300      11.936558       0.010195       0.024606       41095203        3000738       22495235          24703         166671        3241762        1491579       21583710           1436           2510
              4              2      636393062       63607423       25494494       10928759       14390394         171122           4219      13.560574      24.378595     129.787262     346.017792      10.005013         632850       9.995063       0.009949       0.022951       41113722        3000793       22493701          24693         166530        2725697        1234326       19382856           1374           1832
              5              2      692727620       63748770       25497273       13102530        9944094        2446366           4283      13.710183      24.169453      64.238968     346.053009      10.866526         642450      10.856448       0.010078       0.023250       41251887        3000390       22496883          24930         167015        3275486        1388943       25607728           1347           2200
              6              2      603768989       63405696       25459471       13491676       11791843         171280           4672      13.319958      24.765974     100.615356     353.739075       9.522314         700800       9.511262       0.011053       0.026065       40912492        2966267       22493204          24605         166796        2726965        1166341       24267306           1413           1899
              7              2      745155725       63650192       25494387       10708616       12334841        2446152           4778      13.365355      24.606569      74.841103     353.644196      11.707046         716700      11.695786       0.011260       0.026547       41157247        3001442       22492945          24826         166996        3240744        1457754       20718843           1374           2338
              8              2      645425452       63920853       25490702       11508977       13601610         376003           4112      13.721862      24.450537     103.206444     353.753662      10.097260         616800      10.087610       0.009649       0.022757       41431222        3001071       22489631          24549         166202        2727442        1166031       22437756           1217           1136
              9              2      715771875       63219680       25523961       10789507       12488973        2241366           4115      13.579935      24.410339      67.131050     353.791992      11.321980         617250      11.312215       0.009764       0.023028       40729982        3034263       22489698          24521         166030        3307892        1457126       22541573           1222           1466
             10              2      672171959       63819632       25492055       12589444       11617948        1280463           4200      13.421484      24.645290      78.933952     345.354523      10.532370         630000      10.522498       0.009872       0.022728       41328167        3000590       22491465          24511         166109        1984032        1164484       18658415            665            169
             11              2      459685015       42552224       17189980        8965025        6887854        1336649            452      13.673121      24.585615      68.521339     343.137177      10.802844          67800      10.801250       0.001593       0.003645       26980591        1618347       15571633           1544          75683        2634905        1455987       19404683            628            531
             12              2      603834762       64337988       25493051       13834792       11483010         171129           4120      13.390128      24.689802     103.222084     361.841248       9.385353         618000       9.375748       0.009606       0.023171       41847428        3002491       22490560          24890         166913        2692675        1131729       24600445           1217           1069
             13              2      741886193       63401017       25525688       10750169       12325382        2446035           4102      13.477590      24.706364      72.766930     361.604095      11.701488         615300      11.691783       0.009705       0.023396       40910191        3034862       22490826          24589         200677        3344678        1491218       20380941           1222           1535
             14              2      629035439       63498791       25524759       11376294       13972657         171093           4715      13.549253      24.379776     113.391754     345.606567       9.906259         707250       9.895121       0.011138       0.025662       41009002        3034970       22489789          24755         166406        2698716        1199511       20359858           1553           2786
             15              2      703304101       63655165       25592100       12660628       10481216        2442214           8042      13.649844      24.172285      66.081207     343.972015      11.048657        1206300      11.029707       0.018951       0.043456       41079411        3016346       22575754          26042         172593        3352600        1423455       24705685           1545           3406
