           tile     partscheme          cycle       accesses     L2accesses        locxfer       ctocxfer       ptopxfer        memxfer         locAAT        ctocAAT        ptopAAT         memAAT       totalAAT      memcycles     ahopcycles     amemnohops   amemwithhops        L1reads     L1rdMisses       L1writes     L1wrMisses      L1wrBacks        L2reads     L2rdMisses       L2writes     L2wrMisses      L2wrBacks
              0              8      891583235       57939214       22585528        3094104       19341529         143816           6079      13.453321      37.479290     122.967010     364.640411      15.388251         911850      15.372513       0.015738       0.038258       37602624        2248938       20336590           5225         211421        1720843          88083       18294703            210            172
              1              8      778525570       53060586       20832480         424045       20264102         142854           1479      13.001750      32.421398     133.187714     360.273163      14.672390         221850      14.668209       0.004181       0.010042       34379642        2151536       18680944           4179         122256        1238950          59609       16930749            223            269
              2              8      688467273       53758388       20840020        2708924       17986631         142835           1630      13.558721      29.773632     119.802483     360.595093      12.806695         244500      12.802147       0.004548       0.010934       35071634        2153266       18686754           4409         151546        1496593          59633       19481670            226            178
              3              8      755961158       53065225       20803928        1459940       19199515         142903           1570      13.000789      32.502117     110.813538     364.285980      14.245887         235500      14.241448       0.004438       0.010778       34384815        2123518       18680410           4184         122115        2384609         202645       20649794            219            195
              4              8      840751393       52983282       20829925        2477139       18208551         142803           1432      13.000194      38.088261     127.798576     363.613129      15.868240         214800      15.864185       0.004054       0.009828       34305414        2152057       18677868           4005         121854        2181428         116689       15456195            257            278
              5              8      650230346       53155420       20804223        4738002       15921888         142829           1504      13.488143      29.658144     117.206589     359.951477      12.232625         225600      12.228381       0.004244       0.010185       34474620        2123423       18680800           4246         122312        2554938         174070       18080574            218            433
              6              8      626660549       52991526       20801007        4247258       16409434         142891           1424      13.000113      27.858526     122.000450     359.794952      11.825674         213600      11.821644       0.004031       0.009668       34314003        2123484       18677523           3926         122060        2780613         259579       19943130            208            180
              7              8      860948763       52964263       20830987        1910437       18743240         175711           1599      13.852644      38.221359     121.505020     364.145081      16.255276         239850      16.250748       0.004529       0.010994       34286155        2152879       18678108           4267         122397        2871127         231300       22262182            190            188
              8              8      735543711       53286606       21026032        3847954       16862183         314550           1345      13.000178      32.540340     126.367126     364.095154      13.803537         201750      13.799751       0.003786       0.009190       34612017        2351443       18674589           3929         121629        1721405         144194       25681230            222            151
              9              8      703895095       52715018       21026002        2219473       18662208         142829           1492      13.000544      30.151390     118.791046     361.363281      13.352839         223800      13.348593       0.004245       0.010228       34040189        2351173       18674829           3912         121571        1951273         172935       22767154            181            250
             10              8      737825562       53190960       21026935        1657733       19224956         142864           1382      13.000363      31.309410     122.988434     359.623016      13.871258         207300      13.867361       0.003897       0.009344       34515223        2351198       18675737           3896         121524        1436029         115759       18600503            201            170
             11              8      812449660       52945735       20995527        2168205       18684053         142767            502      14.277071      35.685596     131.593796     358.340637      15.344950          75300      15.343527       0.001422       0.003398       34272308        2322100       18673427           3778         121236        1902354         144735       20481169            268            295
             12              8      849763076       53500941       20999971         831091       20024548         142865           1467      13.001379      36.141216     121.991402     364.764832      15.883142         220050      15.879030       0.004113       0.010002       34825477        2324507       18675464           4124         122187        2554403         201647       13441394            189            265
             13              8      665349852       52966257       20997421        4169013       16684168         142813           1427      13.609727      29.590742     130.987473     360.641205      12.561769         214050      12.557728       0.004041       0.009716       34291619        2322783       18674638           3845         150379        2868612         201588       20433042            161            432
             14              8      731294614       52928840       21056116        1800045       19111830         142825           1416      14.554541      30.986814     118.788925     359.637726      13.816562         212400      13.812550       0.004013       0.009621       34253497        2380773       18675343           4167         121934        2782948         144767       16234976            159            137
             15              8      742986929       53201113       21116167        4312762       16626866         173332           3207      13.338970      34.142784     120.147530     365.594025      13.965628         481050      13.956585       0.009042       0.022038       34450709        2365763       18750404           5289         127323        3552716         229915       11834963            162            149
