           tile     partscheme          cycle       accesses     L2accesses        locxfer       ctocxfer       ptopxfer        memxfer         locAAT        ctocAAT        ptopAAT         memAAT       totalAAT      memcycles     ahopcycles     amemnohops   amemwithhops        L1reads     L1rdMisses       L1writes     L1wrMisses      L1wrBacks        L2reads     L2rdMisses       L2writes     L2wrMisses      L2wrBacks
              0              8      240460252       80014622          11763           2762           8641              0            360      13.000000      39.187595           -nan     364.302765       3.005204          54000       3.004529       0.000675       0.001639       80003278            419          11344             20             33            817            416          11692             28              0
              1              8        1146645          68388          23536            402          21898              0           1236      13.365672      32.455795           -nan     389.481384      16.766758         185400      14.055756       2.711002       7.039232          47303           2451          21085            244            382            723            469           9256             49             96
              2              8      240358163       80017208           9148           1712           7045              0            391      13.928739      32.331581           -nan     360.641937       3.003831          58650       3.003098       0.000733       0.001762       80008480            420           8728             19             33            747            478          13172            110            150
              3              8      240399694       80015929           9294            848           8061              0            385      13.000000      35.311375           -nan     368.493500       3.004398          57750       3.003676       0.000722       0.001773       80007053            418           8876             21             34           1000            548          14346             30              0
              4              8      240413924       80016060           9973           2206           7372              0            395      13.000000      38.282421           -nan     364.600006       3.004571          59250       3.003830       0.000740       0.001800       80006511            424           9549             20             33            885            473          12215            145            150
              5              8        1015471          68938          23689           5031          17403              0           1255      13.509839      29.781647           -nan     383.837463      14.730206         188250      11.999493       2.730715       6.987670          47703           2454          21235            243            396           1003            551          16506            136            152
              6              8      240356829       80016227           9446            334           8731              0            381      13.254491      28.776314           -nan     362.107605       3.003851          57150       3.003137       0.000714       0.001724       80007193            412           9034             22             31           1136            611          10351             22              2
              7              8      240406667       80015081           9595            514           8732              0            349      16.326849      35.169376           -nan     364.091705       3.004517          52350       3.003863       0.000654       0.001588       80005901            415           9180             17             32           1102            601          11493             85             60
              8              8      240437902       80015548           9404            843           7977              0            584      13.000000      34.452049           -nan     378.916107       3.004890          87600       3.003795       0.001095       0.002766       80006741            597           8807             19             32           1457            229          23173             19              0
              9              8      240366797       80015527           9717           1837           7478              0            402      13.026674      32.138943           -nan     361.696503       3.004002          60300       3.003248       0.000754       0.001817       80006412            602           9115             19             33           1534            294          19516            101             96
             10              8         803493          57288          22046           1730          20126              0            190      13.130057      31.313873           -nan     385.942108      14.025503          28500      13.528016       0.497486       1.280006          37552           2310          19736            239            370            936            205          16064            154            150
             11              8         879718          56402          22006           2280          19536              0            190      14.276316      35.676239           -nan     397.415802      15.597283          28500      15.091983       0.505301       1.338765          36666           2270          19736            248            370           1650            261          18153             21              0
             12              8         921996          57366          22037            827          21016              0            194      13.000000      36.118290           -nan     388.123718      16.072168          29100      15.564899       0.507269       1.312554          37607           2278          19759            245            369           1945            302          14337            128            150
             13              8         787636          57063          22036           4312          17265              0            459      13.631494      29.667015           -nan     393.082794      13.802919          68850      12.596358       1.206561       3.161856          37303           2276          19760            243            399           2125            337          19210            138            152
             14              8         816264          56508          22103           1861          19941              0            301      14.527136      30.975729           -nan     377.000000      14.445106          45150      13.646103       0.799002       2.008158          36748           2343          19760            236            370           2456            260          13796             24              2
             15              8         890581          56931          22041           4487          16971              0            583      13.655226      34.202698           -nan     397.317322      15.643165          87450      14.107095       1.536070       4.068715          37194           2304          19737            215            367           2877            385          12161             45             60
