           tile     partscheme          cycle       accesses     L2accesses        locxfer       ctocxfer       ptopxfer        memxfer         locAAT        ctocAAT        ptopAAT         memAAT       totalAAT      memcycles     ahopcycles     amemnohops   amemwithhops        L1reads     L1rdMisses       L1writes     L1wrMisses      L1wrBacks        L2reads     L2rdMisses       L2writes     L2wrMisses      L2wrBacks
              0              4      240364261       80014622          11766           3087           8316              5            358      14.195335      28.822392      97.000000     350.279327       3.004004          53700       3.003333       0.000671       0.001567       80003278            422          11344             20             35           1304            593          14900            149            120
              1              4         877586          68388          23652           2214          20020           1024            394      14.202801      26.804895      94.210938     350.068542      12.832456          59100      11.968269       0.864187       2.016830          47303           2567          21085            244            381           1479            825          16330            171            216
              2              4      240312537       80017208           9324           2410           6507             49            358      14.157677      26.811279      92.530609     361.648041       3.003261          53700       3.002589       0.000671       0.001618       80008480            596           8728             20             33            630            429           9007             24             30
              3              4      240326828       80015929           9469           2445           6601             69            354      14.215133      28.897894      97.405800     362.474579       3.003487          53100       3.002824       0.000664       0.001604       80007053            593           8876             21             34            548            407           9432             15             36
              4              4      240323059       80016060           9977           2015           7557             42            363      13.833251      26.519386      98.428574     349.435272       3.003435          54450       3.002755       0.000680       0.001585       80006511            428           9549             20             33           1428            772          13616            113            123
              5              4         879228          68938          23806           2769          19603            961            473      15.139762      26.564199      89.978149     350.217773      12.753895          70950      11.724710       1.029186       2.402927          47703           2571          21235            243            396           1777            904          18367             93             60
              6              4      240315066       80016227           9621           2889           6347             36            349      13.970578      27.976051     104.138885     360.813751       3.003329          52350       3.002675       0.000654       0.001574       80007193            587           9034             22             32            689            486           9907             19             63
              7              4      240336198       80015081           9770           2301           6903            218            348      13.743155      28.779806      74.444954     361.913788       3.003636          52200       3.002984       0.000652       0.001574       80005901            590           9180             17             32            499            379           7472             22              0
              8              4      240325501       80015548           9404           2016           6804            233            351      13.729167      26.769842      97.515022     362.330475       3.003485          52650       3.002827       0.000658       0.001589       80006741            597           8807             19             33           1380            554          14962             74             90
              9              4      240323343       80015527           9717           2377           6937             46            357      13.609171      28.019028      81.804344     361.296906       3.003459          53550       3.002789       0.000669       0.001612       80006412            602           9115             19             34           1435            706          13688            136            154
             10              4         613813          57288          22133           8679          13264            121             69      13.141722      27.520960     127.429749     350.492767      10.714513          10350      10.533847       0.180666       0.422148          37552           2397          19736            239            370           2022            355          22548            131            120
             11              4         663233          56402          22122           9119          12031            906             66      13.430201      27.328070     105.837746     350.757568      11.759033           9900      11.583508       0.175526       0.410446          36666           2386          19736            248            370           2398            514          25038            221            214
             12              4         611312          57366          22153           8373          13586            121             73      13.218559      27.037907     101.776863     360.164398      10.656347          10950      10.465467       0.190880       0.458320          37607           2394          19759            245            369           1443            551          15544             77             62
             13              4         774841          57063          22181           4305          16125           1684             67      13.409756      28.765085      79.914490     359.746277      13.578693          10050      13.402573       0.176121       0.422393          37303           2421          19760            243            399           1756            790          13247             44             30
             14              4         714954          56508          22190           4070          17815            150            155      13.755282      28.489027     116.733330     349.832245      12.652262          23250      12.240815       0.411446       0.959581          36748           2430          19760            236            370           2065            415          14316            158            150
             15              4         670688          56931          22128           8967          12156            936             69      13.642355      27.390343     103.846153     349.869568      11.780717          10350      11.598918       0.181799       0.424040          37194           2391          19737            215            367           3119            631          17067             47             60
