           tile     partscheme          cycle       accesses     L2accesses        locxfer       ctocxfer       ptopxfer        memxfer         locAAT        ctocAAT        ptopAAT         memAAT       totalAAT      memcycles     ahopcycles     amemnohops   amemwithhops        L1reads     L1rdMisses       L1writes     L1wrMisses      L1wrBacks        L2reads     L2rdMisses       L2writes     L2wrMisses      L2wrBacks
              0              1      240243068       80014622          11766          11324              0             84            358      14.352084           -nan      63.011906     336.268158       3.002490          53700       3.001818       0.000671       0.001505       80003278            422          11344             20             35            422            422          11344             20             33
              1              1         637569          68388          23914          21254              0           2266            394      13.494778           -nan      62.229919     343.695435       9.322820          59100       8.458633       0.864187       1.980114          47303           2829          21085            245            382           2829           2415          21085            245            244
              2              1      240235640       80017208           9328           8708              0            262            358      13.970487           -nan      69.362595     351.597778       3.002300          53700       3.001629       0.000671       0.001573       80008480            600           8728             20             33            600            600           8728             20             33
              3              1      240238335       80015929           9472           8855              0            263            354      14.087070           -nan      75.326996     360.203400       3.002381          53100       3.001718       0.000664       0.001594       80007053            596           8876             21             34            596            596           8876             21             33
              4              1      240233195       80016060          10152           9529              0            260            363      13.678560           -nan      57.900002     343.041321       3.002312          54450       3.001632       0.000680       0.001556       80006511            603           9549             20             33            603            603           9549             20             32
              5              1         648088          68938          24067          21376              0           2218            473      13.473101           -nan      61.931469     336.279083       9.401027          70950       8.371841       1.029186       2.307291          47703           2832          21235            244            398           2832           2447          21235            244            246
              6              1      240226654       80016227           9623           9012              0            262            349      13.699956           -nan      60.687023     343.346710       3.002224          52350       3.001570       0.000654       0.001498       80007193            589           9034             22             32            589            589           9034             22             32
              7              1      240230821       80015081           9770           9163              0            259            348      13.819491           -nan      69.637062     351.793091       3.002319          52200       3.001667       0.000652       0.001530       80005901            590           9180             17             32            590            590           9180             17             31
              8              1      240234445       80015548           9405           8788              0            266            351      13.966773           -nan      83.977440     352.102570       3.002347          52650       3.001689       0.000658       0.001545       80006741            598           8807             19             33            598            598           8807             19             33
              9              1      240225760       80015527           9717           9096              0            264            357      13.707563           -nan      55.818180     343.025208       3.002239          53550       3.001570       0.000669       0.001530       80006412            602           9115             19             34            602            602           9115             19             33
             10              1         525560          57288          22249          19911              0           2269             69      13.474712           -nan      61.393566     336.173920       9.173998          10350       8.993332       0.180666       0.404902          37552           2513          19736            239            370           2513           2099          19736            239            241
             11              1         551445          56402          22209          19873              0           2270             66      13.580285           -nan      73.218063     343.636353       9.777047           9900       9.601521       0.175526       0.402113          36666           2473          19736            248            370           2473           2088          19736            248            241
             12              1         569122          57366          22240          19899              0           2268             73      13.661289           -nan      77.920631     357.863007       9.920894          10950       9.730014       0.190880       0.455392          37607           2481          19759            245            369           2481           2096          19759            245            240
             13              1         540622          57063          22268          19932              0           2269             67      13.673540           -nan      66.248566     349.671631       9.474125          10050       9.298004       0.176121       0.410564          37303           2508          19760            243            400           2508           2093          19760            243            241
             14              1         533119          56508          22306          19967              0           2184            155      13.524966           -nan      59.740841     343.458069       9.434399          23250       9.022952       0.411446       0.942097          36748           2546          19760            236            370           2546           2103          19760            236            241
             15              1         544067          56931          22215          19907              0           2239             69      13.493394           -nan      70.783386     335.826080       9.556603          10350       9.374804       0.181799       0.407019          37194           2478          19737            215            367           2478           2093          19737            215            234
