           tile     partscheme          cycle       accesses     L2accesses        locxfer       ctocxfer       ptopxfer        memxfer         locAAT        ctocAAT        ptopAAT         memAAT       totalAAT      memcycles     ahopcycles     amemnohops   amemwithhops        L1reads     L1rdMisses       L1writes     L1wrMisses      L1wrBacks        L2reads     L2rdMisses       L2writes     L2wrMisses      L2wrBacks
              0              8      910565547       57939214       22585528        3094104       19341529              0         149895      13.453321      37.479290           -nan     403.322205      15.715877       22484250      15.327809       0.388066       1.043438       37602624        2248938       20336590           5225         211421        1720843          88083       18294703            210            172
              1              8      797382258       53060586       20832480         424045       20264102              0         144333      13.001750      32.421398           -nan     414.624725      15.027770       21649950      14.619746       0.408023       1.127843       34379642        2151536       18680944           4179         122256        1238950          59609       16930749            223            269
              2              8      707549741       53758388       20840020        2708924       17986631              0         144465      13.558721      29.773632           -nan     402.917480      13.161662       21669750      12.758567       0.403095       1.082761       35071634        2153266       18686754           4409         151546        1496593          59633       19481670            226            178
              3              8      775281114       53065225       20803928        1459940       19199515              0         144473      13.000789      32.502117           -nan     395.665070      14.609965       21670950      14.201583       0.408383       1.077220       34384815        2123518       18680410           4184         122115        2384609         202645       20649794            219            195
              4              8      859372973       52983282       20829925        2477139       18208551              0         144235      13.000194      38.088261           -nan     407.756409      16.219702       21635250      15.811360       0.408341       1.110025       34305414        2152057       18677868           4005         121854        2181428         116689       15456195            257            278
              5              8      669311902       53155420       20804223        4738002       15921888              0         144333      13.488143      29.658144           -nan     400.378113      12.591601       21649950      12.184307       0.407295       1.087147       34474620        2123423       18680800           4246         122312        2554938         174070       18080574            218            433
              6              8      645750473       52991526       20801007        4247258       16409434              0         144315      13.000113      27.858526           -nan     405.146301      12.185919       21647250      11.777415       0.408504       1.103359       34314003        2123484       18677523           3926         122060        2780613         259579       19943130            208            180
              7              8      884148111       52964263       20830987        1910437       18743240              0         177310      13.852644      38.221359           -nan     403.181061      16.693295       26596500      16.191135       0.502159       1.349741       34286155        2152879       18678108           4267         122397        2871127         231300       22262182            190            188
              8              8      777293511       53286606       21026032        3847954       16862183              0         315895      13.000178      32.540340           -nan     408.904175      14.587033       47384250      13.697799       0.889234       2.424076       34612017        2351443       18674589           3929         121629        1721405         144194       25681230            222            151
              9              8      722520251       52715018       21026002        2219473       18662208              0         144321      13.000544      30.151390           -nan     398.801727      13.706157       21648150      13.295493       0.410664       1.091823       34040189        2351173       18674829           3912         121571        1951273         172935       22767154            181            250
             10              8      757140546       53190960       21026935        1657733       19224956              0         144246      13.000363      31.309410           -nan     407.721527      14.234384       21636900      13.827605       0.406778       1.105680       34515223        2351198       18675737           3896         121524        1436029         115759       18600503            201            170
             11              8      831523368       52945735       20995527        2168205       18684053              0         143269      14.277071      35.685596           -nan     414.994843      15.705200       21490350      15.299306       0.405894       1.122959       34272308        2322100       18673427           3778         121236        1902354         144735       20481169            268            295
             12              8      868621496       53500941       20999971         831091       20024548              0         144332      13.001379      36.141216           -nan     403.594391      16.235630       21649800      15.830969       0.404662       1.088796       34825477        2324507       18675464           4124         122187        2554403         201647       13441394            189            265
             13              8      683972872       52966257       20997421        4169013       16684168              0         144240      13.609727      29.590742           -nan     410.886841      12.913370       21636000      12.504884       0.408486       1.118945       34291619        2322783       18674638           3845         150379        2868612         201588       20433042            161            432
             14              8      749919306       52928840       21056116        1800045       19111830              0         144241      14.554541      30.986814           -nan     398.802795      14.168444       21636150      13.759665       0.408778       1.086812       34253497        2380773       18675343           4167         121934        2782948         144767       16234976            159            137
             15              8      766094673       53201113       21116167        4312762       16626866              0         176539      13.338970      34.142784           -nan     402.774536      14.399975       26480850      13.902225       0.497750       1.336540       34450709        2365763       18750404           5289         127323        3552716         229915       11834963            162            149
