           tile     partscheme          cycle       accesses     L2accesses        locxfer       ctocxfer       ptopxfer        memxfer         locAAT        ctocAAT        ptopAAT         memAAT       totalAAT      memcycles     ahopcycles     amemnohops   amemwithhops        L1reads     L1rdMisses       L1writes     L1wrMisses      L1wrBacks        L2reads     L2rdMisses       L2writes     L2wrMisses      L2wrBacks
              0              4      240364905       80014622          11766           3087           8316              0            363      14.195335      28.822392           -nan     350.630859       3.004012          54450       3.003332       0.000681       0.001591       80003278            422          11344             20             35           1304            593          14900            149            120
              1              4        1005282          68388          23652           2214          20020              0           1418      14.202801      26.804895           -nan     363.677704      14.699684         212700      11.589489       3.110195       7.540723          47303           2567          21085            244            381           1479            825          16330            171            216
              2              4      240319133       80017208           9324           2410           6507              0            407      14.157677      26.811279           -nan     363.513519       3.003343          61050       3.002580       0.000763       0.001849       80008480            596           8728             20             33            630            429           9007             24             30
              3              4      240335904       80015929           9469           2445           6601              0            423      14.215133      28.897894           -nan     365.160767       3.003601          63450       3.002808       0.000793       0.001930       80007053            593           8876             21             34            548            407           9432             15             36
              4              4      240328523       80016060           9977           2015           7557              0            405      13.833251      26.519386           -nan     352.451843       3.003504          60750       3.002744       0.000759       0.001784       80006511            428           9549             20             33           1428            772          13616            113            123
              5              4         998872          68938          23806           2769          19603              0           1434      15.139762      26.564199           -nan     359.774048      14.489426         215100      11.369230       3.120195       7.483768          47703           2571          21235            243            396           1777            904          18367             93             60
              6              4      240320066       80016227           9621           2889           6347              0            385      13.970578      27.976051           -nan     363.825989       3.003392          57750       3.002670       0.000722       0.001751       80007193            587           9034             22             32            689            486           9907             19             63
              7              4      240365982       80015081           9770           2301           6903              0            566      13.743155      28.779806           -nan     361.588348       3.004009          84900       3.002948       0.001061       0.002558       80005901            590           9180             17             32            499            379           7472             22              0
              8              4      240357657       80015548           9404           2016           6804              0            584      13.729167      26.769842           -nan     371.583893       3.003887          87600       3.002792       0.001095       0.002712       80006741            597           8807             19             33           1380            554          14962             74             90
              9              4      240329463       80015527           9717           2377           6937              0            403      13.609171      28.019028           -nan     361.702240       3.003535          60450       3.002780       0.000755       0.001822       80006412            602           9115             19             34           1435            706          13688            136            154
             10              4         629057          57288          22133           8679          13264              0            190      13.141722      27.520960           -nan     384.194733      10.980607          28500      10.483120       0.497486       1.274211          37552           2397          19736            239            370           2022            355          22548            131            120
             11              4         777505          56402          22122           9119          12031              0            972      13.430201      27.328070           -nan     379.846710      13.785061         145800      11.200047       2.585015       6.546062          36666           2386          19736            248            370           2398            514          25038            221            214
             12              4         628012          57366          22153           8373          13586              0            194      13.218559      27.037907           -nan     378.644318      10.947460          29100      10.440191       0.507269       1.280497          37607           2394          19759            245            369           1443            551          15544             77             62
             13              4        1006393          57063          22181           4305          16125              0           1751      13.409756      28.765085           -nan     367.122223      17.636524         262650      13.033717       4.602808      11.265285          37303           2421          19760            243            399           1756            790          13247             44             30
             14              4         733794          56508          22190           4070          17815              0            305      13.755282      28.489027           -nan     370.734436      12.985665          45750      12.176045       0.809620       2.001026          36748           2430          19760            236            370           2065            415          14316            158            150
             15              4         787960          56931          22128           8967          12156              0           1005      13.642355      27.390343           -nan     377.127350      13.840614         150750      11.192672       2.647942       6.657410          37194           2391          19737            215            367           3119            631          17067             47             60
