           tile     partscheme          cycle       accesses     L2accesses        locxfer       ctocxfer       ptopxfer        memxfer         locAAT        ctocAAT        ptopAAT         memAAT       totalAAT      memcycles     ahopcycles     amemnohops   amemwithhops        L1reads     L1rdMisses       L1writes     L1wrMisses      L1wrBacks        L2reads     L2rdMisses       L2writes     L2wrMisses      L2wrBacks
              0              1      624241487       69813183       27736159       25136720              0        2585231          14208      13.833745           -nan      57.096180     337.825806       8.941599        2131200       8.911072       0.030527       0.068752       45086872        3009848       24726311          58751         306735        3009848        2596517       24726311           2922          20239
              1              1      597343968       63634651       25563893       22770110              0        2788915           4868      13.496843           -nan      62.700764     343.094696       9.387087         730200       9.375611       0.011475       0.026246       41139256        3068498       22495395          24661         166776        3068498        2792230       22495395           1553           3285
              2              1      631626379       64393335       25571822       22778936              0        2788299           4587      13.629498           -nan      73.079712     352.372131       9.808878         688050       9.798193       0.010685       0.025101       41891651        3070138       22501684          24996         201784        3070138        2791249       22501684           1637           3730
              3              1      637584634       63590438       25530183       22737548              0        2788298           4337      13.707917           -nan      75.604599     360.117828      10.026423         650550      10.016192       0.010230       0.024561       41095203        3034948       22495235          24713         166694        3034948        2791159       22495235           1476           3058
              4              1      584608231       63607423       25562733       22769837              0        2787981           4915      13.514953           -nan      58.032448     342.785950       9.190881         737250       9.179290       0.011591       0.026487       41113722        3069032       22493701          24694         166537        3069032        2791477       22493701           1419           2777
              5              1      579809607       63748770       25531436       22738992              0        2788115           4329      13.485252           -nan      56.565495     336.057526       9.095228         649350       9.085042       0.010186       0.022821       41251887        3034553       22496883          24946         167065        3034553        2790979       22496883           1465           3058
              6              1      599811418       63405696       25527811       22734441              0        2788560           4810      13.497779           -nan      63.970463     342.901672       9.459898         721500       9.448519       0.011379       0.026013       40912492        3034607       22493204          24605         166790        3034607        2791945       22493204           1425           2723
              7              1      627123703       63650192       25528514       22736229              0        2787911           4374      13.575529           -nan      72.892746     352.067444       9.852660         656100       9.842352       0.010308       0.024194       41157247        3035569       22492945          24829         167017        3035569        2790941       22492945           1344           2520
              8              1      610346770       63920853       25559015       22767120              0        2787780           4115      13.634573           -nan      66.006050     351.927826       9.548476         617250       9.538820       0.009656       0.022656       41431222        3069384       22489631          24548         166214        3069384        2790644       22489631           1251           2122
              9              1      579533210       63219680       25558052       22766205              0        2787737           4110      13.508114           -nan      56.756710     343.932861       9.166974         616500       9.157224       0.009752       0.022360       40729982        3068354       22489698          24537         166079        3068354        2790607       22489698           1240           2068
             10              1      584783107       63819632       25543421       22767927              0        2770820           4674      13.484825           -nan      58.490467     335.357727       9.163060         701100       9.152074       0.010986       0.024561       41328167        3051956       22491465          24511         166112        3051956        2774257       22491465           1237           2432
             11              1      393215792       42552224       17207090       15699018              0        1507625            447      13.673519           -nan      67.944000     341.288605       9.240782          67050       9.239205       0.001576       0.003585       26980591        1635457       15571633           1544          75710        1635457        1507998       15571633             74            268
             12              1      628668444       64337988       25527168       22735290              0        2787755           4123      13.607538           -nan      72.459312     360.008728       9.771341         618450       9.761728       0.009613       0.023071       41847428        3036608       22490560          24890         166921        3036608        2790623       22490560           1255           2116
             13              1      602995333       63401017       25559788       22767745              0        2787864           4179      13.640048           -nan      63.874702     352.094757       9.510815         626850       9.500928       0.009887       0.023208       40910191        3068962       22490826          24605         200725        3068962        2790806       22490826           1237           2064
             14              1      580860705       63498791       25592993       22801211              0        2787653           4129      13.507176           -nan      56.808632     343.889557       9.147587         619350       9.137833       0.009754       0.022361       41009002        3103204       22489789          24756         166447        3103204        2790552       22489789           1230           2037
             15              1      596094518       63655165       25626238       22831266              0        2784469          10503      13.439929           -nan      62.215748     332.742065       9.364433        1575450       9.339683       0.024750       0.054902       41079411        3050484       22575754          26046         172642        3050484        2792942       22575754           2030           6229
