           tile     partscheme          cycle       accesses     L2accesses        locxfer       ctocxfer       ptopxfer        memxfer         locAAT        ctocAAT        ptopAAT         memAAT       totalAAT      memcycles     ahopcycles     amemnohops   amemwithhops        L1reads     L1rdMisses       L1writes     L1wrMisses      L1wrBacks        L2reads     L2rdMisses       L2writes     L2wrMisses      L2wrBacks
              0              4      700964480       57939214       22699665        4806931       17742147         144492           6095      13.929087      28.732304     119.688866     350.621002      12.098273         914250      12.082494       0.015779       0.036884       37602624        2363075       20336590           5224         211496        1980907         346429       15805427            388            679
              1              4      674657266       53060586       20975112        2015461       18215074         743077           1500      14.267047      26.705671      84.648834     349.845337      12.714849         225000      12.710608       0.004240       0.009890       34379642        2294168       18680944           4182         122280        2270464         461159       15524448            366           1131
              2              4      590545026       53758388       21125382        5567954       15412396         143378           1654      13.954508      25.765604     121.965172     362.285980      10.985169         248100      10.980555       0.004615       0.011147       35071634        2438628       18686754           4416         151675        2149749         373686       17945471            349            506
              3              4      686780598       53065225       21117796        3823156       16550022         743038           1580      13.728779      28.624453      86.645935     361.700012      12.942198         237000      12.937732       0.004466       0.010770       34384815        2437386       18680410           4185         122227        2122568         402679       19486875            285            911
              4              4      585119785       52983282       20944068        5107943       15691588         143087           1450      13.549012      25.559790     128.812881     349.593781      11.043480         217500      11.039374       0.004105       0.009567       34305414        2266200       18677868           4019         121948        2152818         489251       17759724            339            488
              5              4      664738428       53155420       20946866        2365483       17832874         746981           1528      15.355734      26.478167      79.388901     349.754578      12.505563         229200      12.501251       0.004312       0.010054       34474620        2266066       18680800           4250         122394        2785320         489960       27286603            318            543
              6              4      564688630       52991526       21086386        8442582       12499003         143353           1448      13.453994      27.192585     106.038895     361.045593      10.656206         217200      10.652107       0.004099       0.009866       34314003        2408863       18677523           3924         122179        2409876         459685       21665076            255            379
              7              4      686619477       52964263       21116338        4559771       15636746         918213           1608      13.358084      28.943289      84.126976     361.806580      12.963825         241200      12.959272       0.004554       0.010984       34286155        2438230       18678108           4267         122498        3040914         717084       15625373            249            441
              8              4      606231195       53286606       21140642        5048517       15776187         314601           1337      13.322720      25.876806     108.115997     361.367249      11.376801         200550      11.373038       0.003764       0.009067       34612017        2466053       18674589           3929         121687        2180113         430597       17722553            139            147
              9              4      681899686       52715018       21168794        3536014       16888838         742552           1390      13.430770      28.311361      82.592659     361.725891      12.935588         208500      12.931632       0.003955       0.009538       34040189        2493965       18674829           3912         121601        2437046         516690       19594423            111            645
             10              4      574152622       53190960       21112526        8269069       12698568         143349           1540      13.283350      27.526405     127.117508     350.196106      10.794177         231000      10.789833       0.004343       0.010139       34515223        2436789       18675737           3900         121612        2124383         458770       21400071            347            388
             11              4      592898331       52945735       21109601        8754868       11611801         742372            560      13.463761      27.269121      84.542824     347.533936      11.198226          84000      11.196640       0.001587       0.003676       34272308        2436174       18673427           3775         121240        2554031         516145       23605773            236            837
             12              4      569806240       53500941       21114219        7985729       12983908         143186           1396      13.218704      27.086929     105.426407     361.528656      10.650396         209400      10.646483       0.003914       0.009433       34825477        2438755       18675464           4137         122275        2322349         402246       21348297            125            115
             13              4      671958790       52966257       21140473        4334899       16057302         746915           1357      13.376188      28.640131      78.090752     361.220337      12.686544         203550      12.682702       0.003843       0.009254       34291619        2465835       18674638           3839         150441        2925100         602682       16034247            144            180
             14              4      654577553       52928840       21141555        3873177       17123760         143046           1572      13.781585      28.454184     127.798607     349.409668      12.367125         235800      12.362670       0.004455       0.010378       34253497        2466212       18675343           4174         121959        2125197         430904       13487182            277            341
             15              4      607080708       53201113       21201687        8508271       11774074         915567           3775      13.545006      27.303699      80.397881     349.319214      11.411053         566250      11.400409       0.010644       0.024787       34450709        2451283       18750404           5289         127325        2986847         544807       16281885            295            466
