           tile     partscheme          cycle       accesses     L2accesses        locxfer       ctocxfer       ptopxfer        memxfer         locAAT        ctocAAT        ptopAAT         memAAT       totalAAT      memcycles     ahopcycles     amemnohops   amemwithhops        L1reads     L1rdMisses       L1writes     L1wrMisses      L1wrBacks        L2reads     L2rdMisses       L2writes     L2wrMisses      L2wrBacks
              0              2      240313644       80014622          11766           5094           6297             17            358      14.432862      25.424488      71.764709     346.192749       3.003371          53700       3.002700       0.000671       0.001549       80003278            422          11344             20             35           1387           1050          14711            118            122
              1              2         755017          68388          23711          11478           9836           2003            394      13.485799      24.470110      74.180229     345.241119      11.040197          59100      10.176010       0.864187       1.989019          47303           2626          21085            245            382           1661           1457          17718            147            125
              2              2      240275125       80017208           9327           4631           4288             50            358      13.911467      25.131063      75.980003     360.885468       3.002793          53700       3.002122       0.000671       0.001615       80008480            599           8728             20             33            679            544           9379             21             62
              3              2      240291704       80015929           9472           4010           4862            246            354      14.196259      24.943027      77.959351     361.737274       3.003048          53100       3.002385       0.000664       0.001600       80007053            596           8876             21             34            516            423           8225             20              4
              4              2      240279964       80016060          10152           4759           4985             45            363      13.325909      24.892879      91.288887     344.553711       3.002897          54450       3.002216       0.000680       0.001563       80006511            603           9549             20             33           1577           1180          13805            144            122
              5              2         768162          68938          24038          12137           9299           2129            473      13.721266      24.196472      70.230156     345.357300      11.142795          70950      10.113609       1.029186       2.369578          47703           2803          21235            244            398           1829           1566          16979            120            156
              6              2      240272589       80016227           9621           4616           4603             53            349      13.578856      25.006300      80.018867     352.710602       3.002798          52350       3.002144       0.000654       0.001538       80007193            587           9034             22             32            640            504           9535             22             31
              7              2      240285785       80015081           9770           4144           5033            245            348      13.826255      24.741705      70.526527     353.310333       3.003006          52200       3.002354       0.000652       0.001537       80005901            590           9180             17             32            537            452           8679             17             32
              8              2      240280525       80015548           9404           4568           4249            236            351      13.925788      24.919510      89.588982     353.572662       3.002923          52650       3.002265       0.000658       0.001551       80006741            597           8807             19             33            654            520           8909             18             32
              9              2      240271799       80015527           9717           4831           4457             72            357      14.055682      24.414629      73.888885     352.605042       3.002815          53550       3.002146       0.000669       0.001573       80006412            602           9115             19             34            545            458           9013             20             34
             10              2         547168          57288          22191          11357          10643            122             69      13.327991      24.588085     125.172134     346.362305       9.551180          10350       9.370514       0.180666       0.417173          37552           2455          19736            239            370           2051            802          19018            161            150
             11              2         644451          56402          22180          11328           8749           2037             66      13.580332      24.427135      79.209129     345.227264      11.426031           9900      11.250505       0.175526       0.403975          36666           2444          19736            248            370           2848           1199          20454            132            122
             12              2         539930          57366          22211          12030           9987            121             73      13.374064      24.690798      96.818184     359.219177       9.412021          10950       9.221142       0.190880       0.457117          37607           2452          19759            245            369           2169            776          21597            133            120
             13              2         663518          57063          22239           9308          10827           2037             67      13.484637      24.715433      74.586159     359.029846      11.627815          10050      11.451694       0.176121       0.421552          37303           2479          19760            243            399           2762           1229          17922            160            150
             14              2         576841          56508          22248           9833          12109            151            155      13.539713      24.364275     103.748344     345.045166      10.208130          23250       9.796683       0.411446       0.946450          36748           2488          19760            236            370           2152            834          17846            128            120
             15              2         643275          56931          22186          10955           9203           1959             69      13.702236      24.219929      77.851456     346.014496      11.299204          10350      11.117405       0.181799       0.419367          37194           2449          19737            215            367           2785           1236          21651            136            152
