           tile     partscheme          cycle       accesses     L2accesses        locxfer       ctocxfer       ptopxfer        memxfer         locAAT        ctocAAT        ptopAAT         memAAT       totalAAT      memcycles     ahopcycles     amemnohops   amemwithhops        L1reads     L1rdMisses       L1writes     L1wrMisses      L1wrBacks        L2reads     L2rdMisses       L2writes     L2wrMisses      L2wrBacks
              0              8      240459996       80014622          11763           2762           8641              2            358      13.000000      39.187595      81.000000     364.332397       3.005201          53700       3.004529       0.000671       0.001630       80003278            419          11344             20             33            817            416          11692             28              0
              1              8        1035253          68388          23536            402          21898            842            394      13.365672      32.455795     120.445366     361.147217      15.137934          59100      14.273746       0.864187       2.080657          47303           2451          21085            244            382            723            469           9256             49             96
              2              8      240353583       80017208           9148           1712           7045             33            358      13.928739      32.331581      73.242424     360.513977       3.003774          53700       3.003103       0.000671       0.001613       80008480            420           8728             19             33            747            478          13172            110            150
              3              8      240395850       80015929           9294            848           8061             31            354      13.000000      35.311375     136.741928     364.793793       3.004350          53100       3.003686       0.000664       0.001614       80007053            418           8876             21             34           1000            548          14346             30              0
              4              8      240409948       80016060           9973           2206           7372             32            363      13.000000      38.282421      99.500000     363.793396       3.004521          54450       3.003841       0.000680       0.001650       80006511            424           9549             20             33            885            473          12215            145            150
              5              8         911527          68938          23689           5031          17403            782            473      13.509839      29.781647     114.737854     360.987305      13.222417          70950      12.193232       1.029186       2.476820          47703           2454          21235            243            396           1003            551          16506            136            152
              6              8      240352605       80016227           9446            334           8731             32            349      13.254491      28.776314      98.906250     360.383942       3.003798          52350       3.003144       0.000654       0.001572       80007193            412           9034             22             31           1136            611          10351             22              2
              7              8      240406535       80015081           9595            514           8732              1            348      16.326849      35.169376     106.000000     364.022980       3.004515          52200       3.003863       0.000652       0.001583       80005901            415           9180             17             32           1102            601          11493             85             60
              8              8      240406626       80015548           9404            843           7977            233            351      13.000000      34.452049     115.081543     365.376068       3.004499          52650       3.003841       0.000658       0.001603       80006741            597           8807             19             32           1457            229          23173             19              0
              9              8      240360585       80015527           9717           1837           7478             45            357      13.026674      32.138943      91.022224     359.506989       3.003924          53550       3.003255       0.000669       0.001604       80006412            602           9115             19             33           1534            294          19516            101             96
             10              8         787281          57288          22046           1730          20126            121             69      13.130057      31.313873     116.157028     361.043488      13.742512          10350      13.561846       0.180666       0.434855          37552           2310          19736            239            370            936            205          16064            154            150
             11              8         863118          56402          22006           2280          19536            124             66      14.276316      35.676239     131.604843     363.484863      15.302968           9900      15.127442       0.175526       0.425340          36666           2270          19736            248            370           1650            261          18153             21              0
             12              8         906272          57366          22037            827          21016            121             73      13.000000      36.118290     123.545456     362.643829      15.798069          10950      15.607189       0.190880       0.461475          37607           2278          19759            245            369           1945            302          14337            128            150
             13              8         735892          57063          22036           4312          17265            392             67      13.631494      29.667015     117.112244     357.805969      12.896132          10050      12.720011       0.176121       0.420115          37303           2276          19760            243            399           2125            337          19210            138            152
             14              8         797488          56508          22103           1861          19941            146            155      14.527136      30.975729     117.465752     359.038696      14.112834          23250      13.701387       0.411446       0.984834          36748           2343          19760            236            370           2456            260          13796             24              2
             15              8         822741          56931          22041           4487          16971            514             69      13.655226      34.202698     119.428017     366.811584      14.451547          10350      14.269748       0.181799       0.444573          37194           2304          19737            215            367           2877            385          12161             45             60
