           tile     partscheme          cycle       accesses     L2accesses        locxfer       ctocxfer       ptopxfer        memxfer         locAAT        ctocAAT        ptopAAT         memAAT       totalAAT      memcycles     ahopcycles     amemnohops   amemwithhops        L1reads     L1rdMisses       L1writes     L1wrMisses      L1wrBacks        L2reads     L2rdMisses       L2writes     L2wrMisses      L2wrBacks
              0              2      719198207       69813183       27667917       12242394       15239659              0         185864      13.765106      24.983656           -nan     384.053711      10.301753       27879600       9.902408       0.399346       1.022468       45086872        2941606       24726311          58755         306721        2541350        1068510       21196279           2122          10401
              1              2      986967631       63634651       25324912       12653850       10424603              0        2246459      13.495207      24.387419           -nan     348.998932      15.509909      336968850      10.214541       5.295367      12.320517       41139256        2829517       22495395          24647         166661        3229773        1359599       26025427           2092          11124
              2              2      647820263       64393335       25503671       12068376       13276459              0         158836      13.688732      24.554668           -nan     401.526367      10.060362       23825400       9.690364       0.369998       0.990426       41891651        3001987       22501684          24996         201779        2760963        1132208       23413209           1495           2312
              3              2     1098586989       63590438       25495973       10055998       12972093              0        2467882      13.538670      24.640421           -nan     364.159729      17.275978      370182300      11.454625       5.821352      14.132678       41095203        3000738       22495235          24703         166671        3241762        1491579       21583710           1436           2510
              4              2      657611950       63607423       25494494       10928759       14390394              0         175341      13.560574      24.378595           -nan     402.395874      10.338604       26301150       9.925112       0.413492       1.109249       41113722        3000793       22493701          24693         166530        2725697        1234326       19382856           1374           1832
              5              2     1017282676       63748770       25497273       13102530        9944094              0        2450649      13.710183      24.169453           -nan     346.905701      15.957684      367597350      10.191339       5.766344      13.335852       41251887        3000390       22496883          24930         167015        3275486        1388943       25607728           1347           2200
              6              2      627472741       63405696       25459471       13491676       11791843              0         175952      13.319958      24.765974           -nan     388.070709       9.896157       26392800       9.479904       0.416253       1.076903       40912492        2966267       22493204          24605         166796        2726965        1166341       24267306           1413           1899
              7              2     1068632813       63650192       25494387       10708616       12334841              0        2450930      13.365355      24.606569           -nan     357.073547      16.789154      367639500      11.013216       5.775937      13.749562       41157247        3001442       22492945          24826         166996        3240744        1457754       20718843           1374           2338
              8              2      696422552       63920853       25490702       11508977       13601610              0         380115      13.721862      24.450537           -nan     388.456421      10.895076       57017250      10.003078       0.891998       2.310015       41431222        3001071       22489631          24549         166202        2727442        1166031       22437756           1217           1136
              9              2     1024742819       63219680       25523961       10789507       12488973              0        2245481      13.579935      24.410339           -nan     354.978271      16.209238      336822150      10.881432       5.327805      12.608368       40729982        3034263       22489698          24521         166030        3307892        1457126       22541573           1222           1466
             10              2      836686475       63819632       25492055       12589444       11617948              0        1284663      13.421484      24.645290           -nan     357.375031      13.110174      192699450      10.090735       3.019439       7.193812       41328167        3000590       22491465          24511         166109        1984032        1164484       18658415            665            169
             11              2      632867939       42552224       17189980        8965025        6887854              0        1337101      13.673121      24.585615           -nan     348.084656      14.872735      200565150      10.159347       4.713388      10.937721       26980591        1618347       15571633           1544          75683        2634905        1455987       19404683            628            531
             12              2      627790974       64337988       25493051       13834792       11483010              0         175249      13.390128      24.689802           -nan     392.473785       9.757703       26287350       9.349121       0.408582       1.069052       41847428        3002491       22490560          24890         166913        2692675        1131729       24600445           1217           1069
             13              2     1084330797       63401017       25525688       10750169       12325382              0        2450137      13.477590      24.706364           -nan     362.764862      17.102736      367520550      11.305974       5.796761      14.019075       40910191        3034862       22490826          24589         200677        3344678        1491218       20380941           1222           1535
             14              2      650525139       63498791       25524759       11376294       13972657              0         175808      13.549253      24.379776           -nan     387.830597      10.244685       26371200       9.829383       0.415302       1.073780       41009002        3034970       22489789          24755         166406        2698716        1199511       20359858           1553           2786
             15              2     1025931037       63655165       25592100       12660628       10481216              0        2450256      13.649844      24.172285           -nan     348.171661      16.117012      367538400      10.343114       5.773898      13.402050       41079411        3016346       22575754          26042         172593        3352600        1423455       24705685           1545           3406
