           tile     partscheme          cycle       accesses     L2accesses        locxfer       ctocxfer       ptopxfer        memxfer         locAAT        ctocAAT        ptopAAT         memAAT       totalAAT      memcycles     ahopcycles     amemnohops   amemwithhops        L1reads     L1rdMisses       L1writes     L1wrMisses      L1wrBacks        L2reads     L2rdMisses       L2writes     L2wrMisses      L2wrBacks
              0             16      240566561       80014622          11734            822          10554              0            358      13.000000      44.316845           -nan     372.041901       3.006532          53700       3.005861       0.000671       0.001665       80003278            390          11344             20              2           1525            243          17144             21              0
              1             16        1095164          68388          23333            183          22756              0            394      13.000000      38.273159           -nan     369.989838      16.013979          59100      15.149793       0.864187       2.131602          47303           2248          21085            244            378           1069            226          13792             17              0
              2             16      240452372       80017208           9117            137           8622              0            358      13.000000      40.359081           -nan     368.832397       3.005008          53700       3.004337       0.000671       0.001650       80008480            389           8728             19              1           1114            240          14336             21              0
              3             16      240499212       80015929           9263            133           8776              0            354      13.000000      45.432999           -nan     372.500000       3.005642          53100       3.004978       0.000664       0.001648       80007053            387           8876             21              1           1292            248          16944             23              0
              4             16      240419793       80016060           9943           2012           7568              0            363      13.000000      39.150105           -nan     367.625336       3.004644          54450       3.003964       0.000680       0.001668       80006511            394           9549             20              1           1028            236          12562             28              0
              5             16         906043          68938          23486           2156          20857              0            473      13.000000      30.672100           -nan     365.498932      13.142867          70950      12.113682       1.029186       2.507775          47703           2251          21235            243            390           1109            242          13904             23              0
              6             16      240350416       80016227           9417            240           8828              0            349      13.000000      28.574535           -nan     363.782227       3.003771          52350       3.003117       0.000654       0.001587       80007193            383           9034             22              1           1040            248          15789             27              0
              7             16      240424069       80015081           9566            157           9061              0            348      13.000000      36.347424           -nan     368.790222       3.004735          52200       3.004082       0.000652       0.001604       80005901            386           9180             17              1           1136            236          13282             22              0
              8             16      240379187       80015548           9195            703           8141              0            351      13.000000      33.683331           -nan     368.726501       3.004156          52650       3.003498       0.000658       0.001617       80006741            388           8807             19              1            749            236          17721             26              0
              9             16      240406430       80015527           9509            213           8939              0            357      13.000000      34.596264           -nan     363.868347       3.004497          53550       3.003828       0.000669       0.001623       80006412            394           9115             19              1            579            228          14980             23              0
             10             16         890699          57288          21640           1089          20482              0             69      13.000000      36.850307           -nan     364.927551      15.547741          10350      15.367075       0.180666       0.439534          37552           1904          19736            239            362            511            228          14900             26              0
             11             16         915432          56402          21600            588          20946              0             66      13.000000      37.663326           -nan     369.484863      16.230488           9900      16.054962       0.175526       0.432361          36666           1864          19736            248            363           1010            248          15555             28              0
             12             16        1071723          57366          21631            452          21106              0             73      13.000000      44.656876           -nan     370.739716      18.682198          10950      18.491320       0.190880       0.471778          37607           1872          19759            245            364           1280            243          13990             21              0
             13             16         827251          57063          21630           3709          17854              0             67      13.000000      36.871513           -nan     365.388062      14.497152          10050      14.321032       0.176121       0.429017          37303           1870          19760            243            395           1541            251          21812             17              0
             14             16         946167          56508          21697           1642          19900              0            155      13.000000      39.536484           -nan     366.851624      16.743948          23250      16.332502       0.411446       1.006265          36748           1937          19760            236            365           1970            243           8358             19              0
             15             16         916563          56931          21635           2234          19332              0             69      13.000000      39.632938           -nan     373.898560      16.099541          10350      15.917743       0.181799       0.453163          37194           1898          19737            215            366           2002            239          10372             27              0
