           tile     partscheme          cycle       accesses     L2accesses        locxfer       ctocxfer       ptopxfer        memxfer         locAAT        ctocAAT        ptopAAT         memAAT       totalAAT      memcycles     ahopcycles     amemnohops   amemwithhops        L1reads     L1rdMisses       L1writes     L1wrMisses      L1wrBacks        L2reads     L2rdMisses       L2writes     L2wrMisses      L2wrBacks
              0              1      803179349       57939214       22813860       20629361              0              0        2184499      13.851377           -nan           -nan     338.628235      13.862448      327674850       8.206955       5.655493      12.767399       37602624        2477270       20336590           5223         211548        2477270        2183687       20336590            812           3464
              1              1      811610871       53060586       21232140       18883082              0              0        2349058      13.501431           -nan           -nan     346.324188      15.295928      352358700       8.655241       6.640686      15.332203       34379642        2551196       18680944           4194         122417        2551196        2348596       18680944            462           1235
              2              1      835680687       53758388       21239442       18891008              0              0        2348434      13.634923           -nan           -nan     354.624207      15.545122      352265100       8.992375       6.552746      15.491750       35071634        2552688       18686754           4417         151678        2552688        2347894       18686754            540           1337
              3              1      854584335       53065225       21203451       18855295              0              0        2348156      13.714356           -nan           -nan     363.107971      16.104414      352223400       9.466858       6.637556      16.067663       34384815        2523041       18680410           4195         122254        2523041        2347784       18680410            372            994
              4              1      813361520       52983282       21229382       18881108              0              0        2348274      13.519183           -nan           -nan     347.099091      15.351287      352241100       8.703131       6.648156      15.383792       34305414        2551514       18677868           4020         121984        2551514        2347956       18677868            318            799
              5              1      791928204       53155420       21203637       18855716              0              0        2347921      13.489469           -nan           -nan     338.132080      14.898353      352188150       8.272723       6.625630      14.935587       34474620        2522837       18680800           4261         122468        2522837        2347540       18680800            381            978
              6              1      810305108       52991526       21200564       18851987              0              0        2348577      13.501990           -nan           -nan     346.030579      15.291220      352286550       8.643241       6.647979      15.336025       34314003        2523041       18677523           3923         122174        2523041        2348255       18677523            322            783
              7              1      833346484       52964263       21201936       18854110              0              0        2347826      13.580592           -nan           -nan     355.300354      15.734128      352173900       9.084853       6.649274      15.749929       34286155        2523828       18678108           4270         122513        2523828        2347568       18678108            258            716
              8              1      837366135       53286606       21226232       18878852              0              0        2347380      13.640128           -nan           -nan     356.048920      15.714382      352107000       9.106587       6.607796      15.684655       34612017        2551643       18674589           3927         121692        2551643        2347222       18674589            158            467
              9              1      810401643       52715018       21225799       18878428              0              0        2347371      13.512521           -nan           -nan     346.321259      15.373260      352105650       8.693842       6.679419      15.421498       34040189        2550970       18674829           3925         121641        2550970        2347224       18674829            147            446
             10              1      794056853       53190960       21227078       18879264              0              0        2347814      13.488670           -nan           -nan     338.902985      14.928417      352172100       8.307516       6.620901      14.958955       34515223        2551341       18675737           3901         121605        2551341        2347662       18675737            152            694
             11              1      814267024       52945735       21195567       18849671              0              0        2345896      13.554960           -nan           -nan     347.583344      15.379274      351884400       8.733142       6.646133      15.400567       34272308        2522140       18673427           3784         121264        2522140        2345779       18673427            117            201
             12              1      853167600       53500941       21199785       18852326              0              0        2347459      13.653058           -nan           -nan     362.515869      15.946778      352118850       9.365232       6.581545      15.906096       34825477        2524321       18675464           4137         122282        2524321        2347310       18675464            149            460
             13              1      831574611       52966257       21226023       18878480              0              0        2347543      13.645831           -nan           -nan     353.932953      15.700083      352131450       9.051861       6.648222      15.686833       34291619        2551385       18674638           3852         150483        2551385        2347388       18674638            155            452
             14              1      811458103       52928840       21255667       18908349              0              0        2347318      13.511676           -nan           -nan     346.375214      15.331115      352097700       8.678830       6.652285      15.361243       34253497        2580324       18675343           4171         122008        2580324        2347186       18675343            132            455
             15              1      794157192       53201113       21287267       18936465              0              0        2350802      13.443857           -nan           -nan     338.802185      14.927455      352620300       8.299393       6.628062      14.970680       34450709        2536863       18750404           5293         127389        2536863        2349889       18750404            913           2505
