           tile     partscheme          cycle       accesses     L2accesses        locxfer       ctocxfer       ptopxfer        memxfer         locAAT        ctocAAT        ptopAAT         memAAT       totalAAT      memcycles     ahopcycles     amemnohops   amemwithhops        L1reads     L1rdMisses       L1writes     L1wrMisses      L1wrBacks        L2reads     L2rdMisses       L2writes     L2wrMisses      L2wrBacks
              0              8     1081770103       69813183       27463210        3758900       23519783         171504          13023      13.445725      37.423264     122.993027     372.542358      15.495213        1953450      15.467232       0.027981       0.069494       45086872        2736899       24726311          58756         306612        2079556         106971       22067452           1455           3027
              1              8      936288918       63634651       25086038         528052       24382948         170788           4250      13.001911      32.404793     133.193527     362.970367      14.713507         637500      14.703488       0.010018       0.024242       41139256        2590643       22495395          24645         166624        1502980          72906       20434521           1453           3127
              2              8      826262757       64393335       25094308        3261386       21674762         153725           4435      13.554880      29.775425     116.008926     364.047119      12.831495         665250      12.821164       0.010331       0.025073       41891651        2592624       22501684          24992         201666        1811361          72919       23485172           1444           3013
              3              8      909836659       63590438       25052466        1768098       23109329         170763           4276      13.000474      32.514374     110.815536     367.053558      14.307758         641400      14.297672       0.010086       0.024682       41095203        2557231       22495235          24701         166570        2872769         243875       24880962           1458           3054
              4              8     1011638330       63607423       25085180        2984819       21925352         170725           4284      13.000068      38.062016     127.801895     366.317932      15.904407         642600      15.894303       0.010103       0.024672       41113722        2591479       22493701          24678         166415        2630049         141122       18672814           1480           3003
              5              8      782908230       63748770       25053884        5686806       19192007         170767           4304      13.486298      29.658089     117.206650     362.894989      12.281151         645600      12.271024       0.010127       0.024501       41251887        2557001       22496883          24931         166917        3076451         192664       21811220           1447           3189
              6              8      754279235       63405696       25050130        5101089       19774039         170769           4233      13.000114      27.873047     122.001396     362.855652      11.896080         634950      11.886066       0.010014       0.024224       40912492        2556926       22493204          24608         166693        3346795         311988       24034212           1459           2979
              7              8     1035959537       63650192       25085069        2305708       22564919         210070           4372      13.844746      38.194714     121.530487     367.671082      16.275827         655800      16.265524       0.010303       0.025255       41157247        2592124       22492945          24830         166917        3454966         278226       26809005           1421           3077
              8              8      885677680       63920853       25319743        4622923       20316754         375902           4164      13.000119      32.553104     126.373734     365.717102      13.855849         624600      13.846077       0.009771       0.023824       41431222        2830112       22489631          24549         166135        1955215         173579       29054606           1203           1199
              9              8      847064268       63219680       25319120        2675469       22468676         170709           4266      13.000315      30.148438     118.795822     362.307312      13.398744         639900      13.388621       0.010122       0.024448       40729982        2829422       22489698          24521         165995        2229789         207914       25147718           1167           1250
             10              8      895970385       63819632       25321021        2003907       23056831         256064           4219      13.000184      31.301422     124.262749     361.553925      14.039103         632850      14.029187       0.009916       0.023902       41328167        2829556       22491465          24506         166014        1613459         139499       22090736           1175           1115
             11              8      648156631       42552224       17087258        2217261       14783947          85425            625      14.493296      35.731480     131.584274     363.488007      15.232027          93750      15.229825       0.002203       0.005339       26980591        1515625       15571633           1552          75692        2154023         174219       24389778           1278           1433
             12              8     1022722925       64337988       25288144        1015494       24097658         170740           4252      13.000537      36.128769     121.993965     367.183899      15.896098         637800      15.886184       0.009913       0.024267       41847428        2797584       22490560          24875         166808        2917076         242187       16040967           1156           1240
             13              8      800630780       63401017       25286439        5008074       20103445         170724           4196      13.606821      29.591536     130.989578     361.694244      12.628043         629400      12.618116       0.009927       0.023938       40910191        2795613       22490826          24595         200606        3240894         242141       23326903           1132           1390
             14              8      879867709       63498791       25354372        2174435       23005064         170727           4146      14.538346      30.978462     118.794670     361.959717      13.856448         621900      13.846654       0.009794       0.023633       41009002        2864583       22489789          24750         166356        3172662         173632       18870165           1155           1103
             15              8      893848469       63655165       25421649        5177460       20031723         206371           6095      13.337440      34.143127     120.241875     368.813446      14.042042         914250      14.027679       0.014363       0.035314       41079411        2845895       22575754          26042         172560        4025272         276049       14168483           1139           1035
