           tile     partscheme          cycle       accesses     L2accesses        locxfer       ctocxfer       ptopxfer        memxfer         locAAT        ctocAAT        ptopAAT         memAAT       totalAAT      memcycles     ahopcycles     amemnohops   amemwithhops        L1reads     L1rdMisses       L1writes     L1wrMisses      L1wrBacks        L2reads     L2rdMisses       L2writes     L2wrMisses      L2wrBacks
              0              1      516921829       57939214       22813860       20629361              0        2177436           7063      13.851377           -nan      57.168404     336.912354       8.921795        1059450       8.903510       0.018286       0.041071       37602624        2477270       20336590           5223         211548        2477270        2183687       20336590            812           3464
              1              1      498138839       53060586       21232140       18883082              0        2347048           2010      13.501431           -nan      62.768162     341.526855       9.388115         301500       9.382432       0.005682       0.012937       34379642        2551196       18680944           4194         122417        2551196        2348596       18680944            462           1235
              2              1      523634155       53758388       21239442       18891008              0        2346639           1795      13.634923           -nan      71.650398     351.820068       9.740511         269250       9.735502       0.005009       0.011747       35071634        2552688       18686754           4417         151678        2552688        2347894       18686754            540           1337
              3              1      532014471       53065225       21203451       18855295              0        2346512           1644      13.714356           -nan      75.642769     359.381989      10.025671         246600      10.021024       0.004647       0.011134       34384815        2523041       18680410           4195         122254        2523041        2347784       18680410            372            994
              4              1      487176392       52983282       21229382       18881108              0        2346256           2018      13.519183           -nan      58.080727     340.927155       9.194908         302700       9.189195       0.005713       0.012985       34305414        2551514       18677868           4020         121984        2551514        2347956       18677868            318            799
              5              1      483351672       53155420       21203637       18855716              0        2346369           1552      13.489469           -nan      56.621643     335.227448       9.093178         232800       9.088799       0.004380       0.009788       34474620        2522837       18680800           4261         122468        2522837        2347540       18680800            381            978
              6              1      500546412       52991526       21200564       18851987              0        2346646           1931      13.501990           -nan      64.034058     341.049713       9.445782         289650       9.440316       0.005466       0.012428       34314003        2523041       18677523           3923         122174        2523041        2348255       18677523            322            783
              7              1      522698948       52964263       21201936       18854110              0        2346194           1632      13.580592           -nan      72.898232     351.335785       9.868898         244800       9.864277       0.004622       0.010826       34286155        2523828       18678108           4270         122513        2523828        2347568       18678108            258            716
              8              1      508924691       53286606       21226232       18878852              0        2346043           1337      13.640128           -nan      66.053658     351.118164       9.550706         200550       9.546942       0.003764       0.008810       34612017        2551643       18674589           3927         121692        2551643        2347222       18674589            158            467
              9              1      483109119       52715018       21225799       18878428              0        2345981           1390      13.512521           -nan      56.811211     343.009338       9.164545         208500       9.160589       0.003955       0.009045       34040189        2550970       18674829           3925         121641        2550970        2347224       18674829            147            446
             10              1      485527209       53190960       21227078       18879264              0        2346013           1801      13.488670           -nan      57.394375     334.026093       9.128002         270150       9.122924       0.005079       0.011310       34515223        2551341       18675737           3901         121605        2551341        2347662       18675737            152            694
             11              1      511932204       52945735       21195567       18849671              0        2345517            379      13.554960           -nan      68.685432     340.738800       9.668998          56850       9.667924       0.001074       0.002439       34272308        2522140       18673427           3784         121264        2522140        2345779       18673427            117            201
             12              1      524720128       53500941       21199785       18852326              0        2346064           1395      13.653058           -nan      72.518433     359.236572       9.807680         209250       9.803769       0.003911       0.009367       34825477        2524321       18675464           4137         122282        2524321        2347310       18675464            149            460
             13              1      503119487       52966257       21226023       18878480              0        2346129           1414      13.645831           -nan      63.935608     351.595459       9.498868         212100       9.494864       0.004004       0.009386       34291619        2551385       18674638           3852         150483        2551385        2347388       18674638            155            452
             14              1      484176163       52928840       21255667       18908349              0        2345909           1409      13.511676           -nan      56.865448     343.048248       9.147681         211350       9.143688       0.003993       0.009132       34253497        2580324       18675343           4171         122008        2580324        2347186       18675343            132            455
             15              1      494623236       53201113       21287267       18936465              0        2343855           6947      13.443857           -nan      61.028442     331.483093       9.297235        1042050       9.277648       0.019587       0.043285       34450709        2536863       18750404           5293         127389        2536863        2349889       18750404            913           2505
