           tile     partscheme          cycle       accesses     L2accesses        locxfer       ctocxfer       ptopxfer        memxfer         locAAT        ctocAAT        ptopAAT         memAAT       totalAAT      memcycles     ahopcycles     amemnohops   amemwithhops        L1reads     L1rdMisses       L1writes     L1wrMisses      L1wrBacks        L2reads     L2rdMisses       L2writes     L2wrMisses      L2wrBacks
              0              2      574866224       57939214       22756765       10048327       12557085         144876           6477      13.782480      24.999386     107.924622     346.526794       9.921885         971550       9.905116       0.016768       0.038738       37602624        2420175       20336590           5226         211533        2097674         891867       17488577            522           1075
              1              2      576364812       53060586       21032217       10495497        8645535        1889326           1859      13.499477      24.390976      67.411026     344.478760      10.862391         278850      10.857136       0.005255       0.012069       34379642        2351273       18680944           4182         122288        2673774        1149649       21528957            500           1582
              2              2      522512549       53758388       21182448       10020571       11016518         143648           1711      13.693300      24.559235     115.912491     361.681488       9.719646         256650       9.714873       0.004774       0.011511       35071634        2495694       18686754           4417         151676        2293948         945934       19448753            406            675
              3              2      632334308       53065225       21174841        8336970       10775790        2060446           1635      13.543770      24.645065      76.602051     360.843414      11.916172         245250      11.911551       0.004622       0.011118       34384815        2494431       18680410           4187         122236        2696177        1260762       17918411            338            821
              4              2      528906172       52983282       21172308        9066290       11961376         143206           1436      13.564623      24.381058     129.754868     344.826599       9.982511         215400       9.978446       0.004065       0.009346       34305414        2494440       18677868           4019         121978        2264385        1031275       16076574            279            405
              5              2      576961800       53155420       21175063       10869884        8243115        2060556           1508      13.716016      24.171141      64.249664     344.767914      10.854242         226200      10.849987       0.004255       0.009781       34474620        2494263       18680800           4248         122427        2724318        1174874       21282094            278            705
              6              2      502136094       52991526       21143421       11209765        9788501         143446           1709      13.321802      24.771879     100.615242     351.922760       9.475780         256350       9.470943       0.004838       0.011350       34314003        2465898       18677523           3923         122177        2265733         974443       20161794            303            479
              7              2      620681980       52964263       21173372        8868380       10243016        2060151           1825      13.369204      24.611067      74.890228     352.409302      11.718883         273750      11.713715       0.005169       0.012143       34286155        2495264       18678108           4269         122498        2695429        1232124       17193837            261            697
              8              2      536575745       53286606       21169130        9551529       11301603         314661           1337      13.727547      24.453621     103.184738     352.643982      10.069617         200550      10.065854       0.003764       0.008848       34612017        2494541       18674589           3929         121687        2265756         974141       18631201            129            142
              9              2      596326173       52715018       21197284        8935883       10371158        1888853           1390      13.585825      24.413359      67.180984     352.758270      11.312263         208500      11.308310       0.003955       0.009302       34040189        2522455       18674829           3912         121601        2751240        1231838       18718217            133            412
             10              2      510544161       53190960       21170022       10840370       10184750         143499           1403      13.409019      24.615852     126.432686     344.833923       9.598326         210450       9.594369       0.003956       0.009096       34515223        2494285       18675737           3901         121605        2121465         973443       17991556            135             98
             11              2      587352927       52945735       21167058       10807755        8299073        2059848            382      13.579182      24.406242      69.244797     342.358643      11.093488          57300      11.092406       0.001082       0.002470       34272308        2493631       18673427           3775         121239        2866451        1231450       19357608            104            390
             12              2      502085325       53500941       21171250       11496822        9529795         143238           1395      13.392886      24.768721     103.225250     360.760559       9.384607         209250       9.380696       0.003911       0.009407       34825477        2495786       18675464           4137         122275        2236718         945514       20439649            136            124
             13              2      618444108       52966257       21197506        8902034       10233895        2060220           1357      13.482510      24.711651      72.775780     360.437744      11.676190         203550      11.672348       0.003843       0.009234       34291619        2522868       18674638           3839         150441        2781936        1260437       16910453            123            416
             14              2      522891925       52928840       21198624        9441175       11612392         143154           1903      13.553651      24.382355     113.386154     344.280609       9.879149         285450       9.873756       0.005393       0.012378       34253497        2523281       18675343           4172         121978        2242570        1002816       16895697            472            715
             15              2      586343779       53201113       21258715       10502359        8693804        2057621           4931      13.655591      24.174089      66.090614     341.932068      11.021270         739650      11.007367       0.013903       0.031692       34450709        2508311       18750404           5289         127348        2789022        1203891       20530050            430           1150
