           tile     partscheme          cycle       accesses     L2accesses        locxfer       ctocxfer       ptopxfer        memxfer         locAAT        ctocAAT        ptopAAT         memAAT       totalAAT      memcycles     ahopcycles     amemnohops   amemwithhops        L1reads     L1rdMisses       L1writes     L1wrMisses      L1wrBacks        L2reads     L2rdMisses       L2writes     L2wrMisses      L2wrBacks
              0              4      849954076       69813183       27599654        5863884       21550726         172018          13026      13.909437      28.698059     119.754784     356.214661      12.174692        1953900      12.146706       0.027988       0.066464       45086872        2873343       24726311          58755         306686        2394165         415927       19123959           1744           5530
              1              4      810095351       63634651       25256609        2469982       21911130         871236           4261      14.235744      26.705130      84.705223     352.158417      12.730412         639150      12.720368       0.010044       0.023581       41139256        2761214       22495395          24647         166647        2740089         536047       18784123           1714           6182
              2              4      708403454       64393335       25435449        6700581       18576168         154264           4436      13.948222      25.770279     119.324173     363.744354      11.001192         665400      10.990859       0.010333       0.025058       41891651        2933765       22501684          24997         201782        2588431         448043       21616307           1441           1763
              3              4      825638651       63590438       25427774        4614854       19920295         888343           4282      13.721431      28.611094      86.647209     363.542267      12.983691         642300      12.973591       0.010101       0.024480       41095203        2932539       22495235          24701         166662        2555742         465666       23461618           1380           2223
              4              4      704477799       63607423       25221652        6150960       18895396         171030           4266      13.546295      25.567320     128.830048     351.432709      11.075402         639900      11.065342       0.010060       0.023570       41113722        2727951       22493701          24693         166529        2599941         586868       21455176           1692           5390
              5              4      799459572       63748770       25224484        2871964       21455100         893110           4310      15.320752      26.478903      79.395454     351.774719      12.540785         646500      12.530643       0.010141       0.023783       41251887        2727601       22496883          24931         167006        3355914         587604       32849032           1661           5567
              6              4      679404611       63405696       25391276       10139175       15076640         171214           4247      13.452477      27.188078     106.033241     363.113739      10.715199         637050      10.705151       0.010047       0.024322       40912492        2898072       22493204          24606         166798        2899464         550953       26064208           1365           1734
              7              4      826010283       63650192       25426189        5495097       18828926        1097814           4352      13.355138      28.926968      84.129662     363.239441      12.977342         652800      12.967086       0.010256       0.024836       41157247        2933244       22492945          24826         166999        3653983         858758       18840935           1346           1825
              8              4      729612318       63920853       25456640        6080294       18996063         375980           4303      13.320282      25.881901     108.127647     363.891693      11.414308         645450      11.404210       0.010098       0.024496       41431222        2967009       22489631          24549         166202        2625139         516229       21351251           1432           1838
              9              4      819035358       63219680       25489899        4288429       20326143         870841           4486      13.424399      28.300360      82.766319     364.657837      12.955385         672900      12.944742       0.010644       0.025876       40729982        3000201       22489698          24521         166030        2932206         602033       23591261           1388           2358
             10              4      717262216       63819632       25423356        9846207       14975083         597731           4335      13.284485      27.516893      97.593094     350.552704      11.238896         650250      11.228707       0.010189       0.023812       41328167        2931891       22491465          24511         166115        2281500         549424       23744322           1154            951
             11              4      480133813       42552224       17155388        6748867        9961891         443973            657      13.494343      27.625479      84.551285     349.788422      11.283401          98550      11.281085       0.002316       0.005401       26980591        1583755       15571633           1544          75684        2708968         600922       24883360           1052           1375
             12              4      685760926       64337988       25424859        9592686       15656788         171091           4294      13.217446      27.034546     105.421982     364.210541      10.658725         644100      10.648713       0.010011       0.024308       41847428        2934299       22490560          24890         166913        2794978         482251       25686950           1427           1744
             13              4      807799806       63401017       25457496        5226955       19333376         892957           4208      13.372934      28.626146      78.090897     363.313202      12.741117         631200      12.731161       0.009956       0.024114       40910191        2966670       22490826          24589         200677        3515856         721945       19331253           1455           1891
             14              4      787332157       63498791       25456530        4675108       20606152         170964           4306      13.773989      28.442873     127.805878     350.205048      12.399167         645900      12.388996       0.010172       0.023748       41009002        2966741       22489789          24757         166386        2264404         515471       15273951           1079            875
             15              4      729829231       63655165       25523902       10215557       14207816        1093886           6643      13.542581      27.296965      80.381302     350.545685      11.465358         996450      11.449704       0.015654       0.036583       41079411        2948148       22575754          26042         172564        3175663         652281       19227008           1112           1097
