           tile     partscheme          cycle       accesses     L2accesses        locxfer       ctocxfer       ptopxfer        memxfer         locAAT        ctocAAT        ptopAAT         memAAT       totalAAT      memcycles     ahopcycles     amemnohops   amemwithhops        L1reads     L1rdMisses       L1writes     L1wrMisses      L1wrBacks        L2reads     L2rdMisses       L2writes     L2wrMisses      L2wrBacks
              0              8     1104406943       69813183       27463210        3758900       23519783              0         184527      13.445725      37.423264           -nan     402.693665      15.819461       27679050      15.422989       0.396473       1.064381       45086872        2736899       24726311          58756         306612        2079556         106971       22067452           1455           3027
              1              8      958832878       63634651       25086038         528052       24382948              0         175038      13.001911      32.404793           -nan     413.925201      15.067780       26255700      14.655178       0.412601       1.138572       41139256        2590643       22495395          24645         166624        1502980          72906       20434521           1453           3127
              2              8      846963897       64393335       25094308        3261386       21674762              0         158160      13.554880      29.775425           -nan     399.645386      13.152974       23724000      12.784551       0.368423       0.981591       41891651        2592624       22501684          24992         201666        1811361          72919       23485172           1444           3013
              3              8      932923447       63590438       25052466        1768098       23109329              0         175039      13.000474      32.514374           -nan     395.305908      14.670813       26255850      14.257923       0.412890       1.088119       41095203        2557231       22495235          24701         166570        2872769         243875       24880962           1458           3054
              4              8     1033900934       63607423       25085180        2984819       21925352              0         175009      13.000068      38.062016           -nan     407.177002      16.254406       26251350      15.841698       0.412709       1.120304       41113722        2591479       22493701          24678         166415        2630049         141122       18672814           1480           3003
              5              8      805722354       63748770       25053884        5686806       19192007              0         175071      13.486298      29.658089           -nan     399.872650      12.639027       26260650      12.227086       0.411940       1.098156       41251887        2557001       22496883          24931         166917        3076451         192664       21811220           1447           3189
              6              8      777093775       63405696       25050130        5101089       19774039              0         175002      13.000114      27.873047           -nan     404.566315      12.255898       26250300      11.841893       0.414005       1.116618       40912492        2556926       22493204          24608         166693        3346795         311988       24034212           1459           2979
              7              8     1063695489       63650192       25085069        2305708       22564919              0         214442      13.844746      38.194714           -nan     402.830719      16.711584       32166300      16.206223       0.505361       1.357165       41157247        2592124       22492945          24830         166917        3454966         278226       26809005           1421           3077
              8              8      935570864       63920853       25319743        4622923       20316754              0         380066      13.000119      32.553104           -nan     408.627625      14.636395       57009900      13.744513       0.891883       2.429653       41431222        2830112       22489631          24549         166135        1955215         173579       29054606           1203           1199
              9              8      869324968       63219680       25319120        2675469       22468676              0         174975      13.000315      30.148438           -nan     398.297852      13.750860       26246250      13.335701       0.415159       1.102381       40729982        2829422       22489698          24521         165995        2229789         207914       25147718           1167           1250
             10              8      930453737       63819632       25321021        2003907       23056831              0         260283      13.000184      31.301422           -nan     408.161743      14.579429       39042450      13.967666       0.611762       1.664653       41328167        2829556       22491465          24506         166014        1613459         139499       22090736           1175           1115
             11              8      659569395       42552224       17087258        2217261       14783947              0          86050      14.493296      35.731480           -nan     414.808594      15.500234       12907500      15.196899       0.303333       0.838835       26980591        1515625       15571633           1552          75692        2154023         174219       24389778           1278           1433
             12              8     1045260797       64337988       25288144        1015494       24097658              0         174992      13.000537      36.128769           -nan     403.100677      16.246401       26248800      15.838418       0.407983       1.096388       41847428        2797584       22490560          24875         166808        2917076         242187       16040967           1156           1240
             13              8      822893428       63401017       25286439        5008074       20103445              0         174920      13.606821      29.591536           -nan     410.198853      12.979184       26238000      12.565342       0.413842       1.131717       40910191        2795613       22490826          24595         200606        3240894         242141       23326903           1132           1390
             14              8      902130801       63498791       25354372        2174435       23005064              0         174873      14.538346      30.978462           -nan     398.313568      14.207055       26230950      13.793961       0.413094       1.096939       41009002        2864583       22489789          24750         166356        3172662         173632       18870165           1155           1103
             15              8      921361889       63655165       25421649        5177460       20031723              0         212466      13.337440      34.143127           -nan     402.565216      14.474268       31869900      13.973602       0.500665       1.343668       41079411        2845895       22575754          26042         172560        4025272         276049       14168483           1139           1035
