           tile     partscheme          cycle       accesses     L2accesses        locxfer       ctocxfer       ptopxfer        memxfer         locAAT        ctocAAT        ptopAAT         memAAT       totalAAT      memcycles     ahopcycles     amemnohops   amemwithhops        L1reads     L1rdMisses       L1writes     L1wrMisses      L1wrBacks        L2reads     L2rdMisses       L2writes     L2wrMisses      L2wrBacks
              0              2      593519784       57939214       22756765       10048327       12557085              0         151353      13.782480      24.999386           -nan     384.961639      10.243835       22702950       9.851995       0.391841       1.005625       37602624        2420175       20336590           5226         211533        2097674         891867       17488577            522           1075
              1              2      825083876       53060586       21032217       10495497        8645535              0        1891185      13.499477      24.390976           -nan     349.050842      15.549846      283677750      10.203547       5.346299      12.440868       34379642        2351273       18680944           4182         122288        2673774        1149649       21528957            500           1582
              2              2      542622253       53758388       21182448       10020571       11016518              0         145359      13.693300      24.559235           -nan     405.384888      10.093723       21803850       9.688132       0.405590       1.096133       35071634        2495694       18686754           4417         151676        2293948         945934       19448753            406            675
              3              2      915769452       53065225       21174841        8336970       10775790              0        2062081      13.543770      24.645065           -nan     364.159515      17.257431      309312150      11.428526       5.828905      14.151008       34384815        2494431       18680410           4187         122236        2696177        1260762       17918411            338            821
              4              2      546664140       52983282       21172308        9066290       11961376              0         144642      13.564623      24.381058           -nan     403.172729      10.317673       21696300       9.908179       0.409493       1.100644       34305414        2494440       18677868           4019         121978        2264385        1031275       16076574            279            405
              5              2      850323048       53155420       21175063       10869884        8243115              0        2062064      13.716016      24.171141           -nan     346.911896      15.996922      309309600      10.177955       5.818966      13.457791       34474620        2494263       18680800           4248         122427        2724318        1174874       21282094            278            705
              6              2      521986190       52991526       21143421       11209765        9788501              0         145155      13.321802      24.771879           -nan     388.559052       9.850370       21773250       9.439488       0.410882       1.064345       34314003        2465898       18677523           3923         122177        2265733         974443       20161794            303            479
              7              2      893111600       52964263       21173372        8868380       10243016              0        2061976      13.369204      24.611067           -nan     357.123749      16.862532      309296400      11.022813       5.839718      13.903348       34286155        2495264       18678108           4269         122498        2695429        1232124       17193837            261            697
              8              2      579252973       53286606       21169130        9551529       11301603              0         315998      13.727547      24.453621           -nan     388.660919      10.870518       47399700       9.980993       0.889524       2.304821       34612017        2494541       18674589           3929         121687        2265756         974141       18631201            129            142
              9              2      856618889       52715018       21197284        8935883       10371158              0        1890243      13.585825      24.413359           -nan     354.984009      16.249998      283536450      10.871332       5.378666      12.728935       34040189        2522455       18674829           3912         121601        2751240        1231838       18718217            133            412
             10              2      528342277       53190960       21170022       10840370       10184750              0         144902      13.409019      24.615852           -nan     399.923615       9.932934       21735300       9.524306       0.408628       1.089466       34515223        2494285       18675737           3901         121605        2121465         973443       17991556            135             98
             11              2      853791015       52945735       21167058       10807755        8299073              0        2060230      13.579182      24.406242           -nan     348.592072      16.125774      309034500      10.288960       5.836815      13.564451       34272308        2493631       18673427           3775         121239        2866451        1231450       19357608            104            390
             12              2      522136373       53500941       21171250       11496822        9529795              0         144633      13.392886      24.768721           -nan     392.896423       9.759387       21694950       9.353881       0.405506       1.062146       34825477        2495786       18675464           4137         122275        2236718         945514       20439649            136            124
             13              2      906874508       52966257       21197506        8902034       10233895              0        2061577      13.482510      24.711651           -nan     362.774017      17.121740      309236550      11.283372       5.838369      14.120058       34291619        2522868       18674638           3839         150441        2781936        1260437       16910453            123            416
             14              2      540872133       52928840       21198624        9441175       11612392              0         145057      13.553651      24.382355           -nan     388.400116      10.218855       21758550       9.807764       0.411091       1.064451       34253497        2523281       18675343           4172         121978        2242570        1002816       16895697            472            715
             15              2      858156255       53201113       21258715       10502359        8693804              0        2062552      13.655591      24.174089           -nan     348.176025      16.130419      309382800      10.315075       5.815344      13.498424       34450709        2508311       18750404           5289         127348        2789022        1203891       20530050            430           1150
